code,name,credits,equivalency,transfer_credit
ACCT103,BUSINESS MATHEMATICS,3,EC,3
ACCT130,FINANCIAL ACCOUNTING,4,29010203,4
ACCT131,MANAGERIAL ACCOUNTING,4,29010204,4
ACCT150,COMPUTERIZED ACCT APPLICATIONS/QUICKBOOKS PRO,3,EC,3
ACCT162,MICROCOMPUTER APPLICATIONS USING SPREADSHEETS,3,29623220,3
ACCT230,INTERMEDIATE ACCOUNTING,4,29010305,3
ACCT231,INTERMEDIATE ACCOUNTING II,4,EC,4
ACCT235,COST ACCOUNTING,4,PENDING,0
ACCT236,AUDITING,3,EC,3
ACCT245,ACCOUNTING INFORMATION SYSTEMS,3,PENDING,0
ACCT260,FEDERAL TAXATION,4,EC,4
ACCT261,FEDERAL TAXATION II,4,EC,4
AERG101,INTRODUCTION TO ENGINEERING,3,14440100,3
AERG200,ENGINEERING DESIGN,3,14180215,3
AERG201,STATICS,3,14440221,3
AERG202,SOLID MECHANICS,3,14650291,3
AERG204,DYNAMICS,3,14440222,3
ALHT102,MEDICAL TERMINOLOGY,2,EC,2
ALHT104,EMERGENCY MEDICAL TECH,4,To Be Determined,0
ALHT105,HEALTH CAREERS/ISSUES,1,EC,1
ALHT106,APPLIED ANATOMY AND KINESIOLOGY,3,EC,3
ALHT107,E.M.T. - REFRESHER,2,Not Transferable,0
ALHT108,FUNDAMENTALS OF NUTRITION,3,EC,3
ALHT110,COMPREHENSIVE MEDICAL TERMINOLOGY,3,Not Transferable,0
ALHT130,STANDARD FIRST AID/PERSONAL SAFETY AND BASIC LIFE,2,Not Transferable,0
ALHT160,ESSENTIALS OF CULINARY NUTRITION,3,Not Transferable,0
ALHT215,PHARMACHOLOGY I,2,Not Transferable,0
AMUS131,VOICE I,1,EC,1
AMUS132,VOICE II,1,EC,1
AMUS141,PIANO I,1,EC,1
AMUS142,PIANO II,1,21001100,1
AMUS151,ORGAN I,1,EC,1
AMUS152,ORGAN II,1,EC,1
AMUS161,GUITAR I,1,To Be Determined,0
AMUS162,GUITAR II,1,To Be Determined,0
AMUS171,BRASS I,1,To Be Determined,0
AMUS172,BRASS II,1,To Be Determined,0
AMUS181,WOODWINDS I,1,To Be Determined,0
AMUS182,WOODWINDS II,1,To Be Determined,0
