code,name,credits,equivalency,transfer_credit
ACC100,INTRODUCTION TO ACCOUNTING,3,EC,3
ACC101,ACCOUNTING I,3,FEC,3
ACC103,LEGAL ACCOUNTING,3,EC,3
ACC104,MEDICAL ACCOUNTING,3,EC,3
ACC107,FEDERAL TAXATION,3,EC,3
ACC110,FINANCIAL ACCOUNTING,3,29010203,3
ACC115,GOVERNMENT AND NOT-FOR-PROFIT ACCOUNTING,3,Not Transferable,0
ACC120,COMPUTERIZED ACCOUNTING,3,EC,3
ACC140,FEDERAL INCOME TAX RETURN PREPARATION,1,Not Transferable,0
ACC201,ACCOUNTING II,3,29010203,3
ACC202,INTERMEDIATE ACCOUNTING I,3,29010305,3
ACC203,INTERMEDIATE ACCOUNTING II,3,EC,3
ACC204,COST ACCOUNTING I,3,29010204,3
ACC205,COST ACCOUNTING II,3,EC,3
ACC206,HOSPITALITY ACCOUNTING,3,EC,3
ACC207,LEGAL ACCOUNTING,3,PENDING,0
ACC209,INTEGRATED ACCOUNTING ON MICROCOMPUTERS,3,29623220,3
ACC210,MANAGERIAL ACCOUNTING,3,29010204,3
ACC215,TOPICS IN ACCOUNTING,3,Not Transferable,0
ACC220,PEACHTREE ACCOUNTING/EXCEL APPLICATIONS,3,Not Transferable,0
ACC292,CO-OP WORK EXPERIENCE (ACCOUNTING),2,Not Transferable,0
ACC293,CO-OP WORK EXPERIENCE [ACCOUNTING],3,Not Transferable,0
ACC462,CO-OP WORK EXPERIENCE (ACCOUNTING),2,Not Transferable,0
ACC463,CO-OP WORK EXPERIENCE [ACCOUNTING],3,Not Transferable,0
ALH100,INTRODUCTION TO HEALTH CAREERS,1,Not Transferable,0
ALH200,HEALTH CAREER SEMINAR,2,Not Transferable,0
ALH463,CO-OP WORK EXPERIENCE (ALLIED HEALTH),3,Not Transferable,0
ALP004,AMERICAN LANGUAGE FOUNDATIONS:GRAMMAR PART A,3,Not Transferable,0
ALP005,AMERICAN LANGUAGE FOUNDATIONS:GRAMMAR PART B,3,Not Transferable,0
ALP006,AMERICAN LANGUAGE FOUNDATIONS:READING,3,Not Transferable,0
ALP007,AMERICAN LANGUAGE FOUNDATIONS:WRITING,3,Not Transferable,0
ALP041,AMERICAN LANGUAGE I:GRAMMAR PART A,3,Not Transferable,0
ALP042,AMERICAN LANGUAGE I:GRAMMAR PART B,3,Not Transferable,0
ALP043,AMERICAN LANGUAGE I:WRITING,3,Not Transferable,0
ALP044,AMERICAN LANGUAGE I:READING,3,Not Transferable,0
ALP045,DIRECTED STUDIES IN AMERICAN LANGUAGE I,1,Not Transferable,0
ALP051,AMERICAN LANGUAGE II:GRAMMAR PART A,3,Not Transferable,0
ALP052,AMERICAN LANGUAGE II:GRAMMAR PART B,3,Not Transferable,0
ALP053,AMERICAN LANGUAGE II:WRITING,3,Not Transferable,0
ALP054,AMERICAN LANGUAGE II:READING,3,Not Transferable,0
ALP055,DIRECTED STUDIES IN AMERICAN LANGUAGE II,1,Not Transferable,0
ALP061,AMERICAN LANGUAGE III:GRAMMAR PART A,3,Not Transferable,0
ALP062,AMERICAN LANGUAGE III:GRAMMAR PART B,3,Not Transferable,0
ALP063,AMERICAN LANGUAGE III:WRITING,3,Not Transferable,0
ALP064,AMERICAN LANGUAGE III:READING,3,Not Transferable,0
ALP065,DIRECTED STUDIES IN AMERICAN LANGUAGE III,1,Not Transferable,0
ANT100,INTRODUCTION TO ANTHROPOLOGY,3,01070EC,3
ANT101,CULTURAL ANTHROPOLOGY,3,21070204,3
ANT102,INTRODUCTION TO ARCHAEOLOGY,3,01070100,3
ANT103,ANTHROPOLOGY OF THE MIDDLE EAST,3,01070EC,3
ART101,INTRODUCTION TO ART AND VISUAL CULTURE,3,EC,3
ART102,HISTORY OF ART AND VISUAL CULTURE TO 1400,3,21082101,3
ART103,HISTORY OF ART AND VISUAL CULTURE 1400-1900,3,21082102,3
ART104,MODERN ART 1890-1940,3,EC,3
ART105,HISTORY OF ANIMATION,3,PENDING,0
ART105,HISTORY OF ANIMATION,3,01082EC,3
ART106,HISTORY OF GRAPHIC DESIGN,3,Not Transferable,0
ART107,HISTORY OF PHOTOGRAPHY,3,Not Transferable,0
ART108,SCULPTURE I,3,Not Transferable,0
ART110,CONTEMPORARY ART 1940 - PRESENT,3,07080201,3
ART110,CONTEMPORARY ART 1940 - PRESENT,3,EC,3
ART122,TWO-DIMENSIONAL DESIGN,3,21080102,3
ART122,2 DIMENSION DESIGN,3,Not Transferable,0
ART123,LIFE DRAWING I,3,EC,3
ART124,DRAWING FUNDAMENTALS,3,EC,3
ART125,ILLUSTRATION,3,Not Transferable,0
ART126,INTRODUCTION TO COMPUTER GRAPHICS,3,EC,3
ART127,PAINTING I,3,21080251,3
ART128,WATERCOLOR,3,EC,3
ART129,COLLAGE:MATERIALS AND TECHNIQUE,3,EC,3
ART130,COLOR THEORY,3,EC,3
ART140,MATERIALS AND METHODS,2,EC,2
ART160,SOUND FOR VISUAL MEDIA,3,Not Transferable,0
ART181,PHOTOGRAPHY I,3,21080261,3
ART184,DIGITAL PHOTOGRAPHY,3,07081368,3
ART189,COMPUTER 2D ILLUSTRATION,3,EC,3
ART192,COMPUTER 3D ANIMATION I,3,EC,3
ART197,COMPUTER IMAGING,3,EC,3
ART220,COMPUTER LAYOUT,3,Not Transferable,0
ART222,THREE-DIMENSIONAL DESIGN,3,21080103,3
ART223,LIFE DRAWING II,3,EC,3
ART224,ADVANCED DRAWING,3,EC,3
ART225,ADVERTISING LAYOUT,3,EC,3
ART226,LETTERFORM AND TYPE,3,EC,3
ART227,PAINTING I,3,21080251,3
ART228,PAINTING II,3,21080251,3
ART229,PAINTING III,3,Not Transferable,0
ART230,PAINTING IV,3,Not Transferable,0
ART236,INTRODUCTION TO PRINTMAKING,3,EC,3
ART255,BASIC SCULPTURE I,3,EC,3
ART256,BASIC SCULPTURE II,3,EC,3
ART259,COMPUTER GRAPHICS FOR THE WEB DEVELOPER,3,PENDING,0
ART260,GRAPHIC DESIGN I,3,EC,3
ART261,GRAPHIC DESIGN II,3,EC,3
ART262,GRAPHIC DESIGN III,3,EC,3
ART264,MECHANICAL PREPARATION,3,EC,3
ART266,ILLUSTRATION I,3,EC,3
ART267,ILLUSTRATION II,3,EC,3
ART271,PORTFOLIO PRESENTATION,2,EC,3
ART272,CO-OP WORK EXPERIENCE (VISUAL ART),2,Not Transferable,0
ART273,CO-OP WORK EXPERIENCE (VISUAL ART),3,Not Transferable,0
ART275,ADVERTISING ILLUSTRATION,3,EC,3
ART276,EDITORIAL AND BOOK ILLUSTRATION,3,EC,3
ART277,"MEDICAL, SCIENTIFIC AND TECHNICAL ILLUSTRATION",3,EC,3
ART281,PHOTOGRAPHY II,3,EC,3
ART282,COLOR PHOTOGRAPHY,3,EC,3
ART283,STUDIO PHOTOGRAPHY,3,EC,3
ART284,DIGITAL PHOTOGRAPHY,3,07081368,3
ART284,DIGITAL PHOTOGRAPHY,3,EC,3
ART285,ADVANCED DARKROOM TECHNIQUES,3,EC,3
ART287,COMPUTER LAYOUT I,3,EC,3
ART288,COMPUTER LAYOUT II,3,07081237,3
ART288,COMPUTER LAYOUT II,3,EC,3
ART289,COMPUTER 2D ILLUSTRATION,3,EC,3
ART290,COMPUTER 2D ANIMATION I,3,EC,3
ART291,COMPUTER 2D ANIMATION II,3,EC,3
ART292,COMPUTER 3D ANIMATION I,3,EC,3
ART293,COMPUTER 3D ANIMATION II,3,EC,3
ART297,COMPUTER IMAGING,3,EC,3
ART298,INTERACTIVE MULTIMEDIA,3,EC,3
ART462,CO-OP WORK EXPERIENCE (VISUAL ART),2,Not Transferable,0
ART463,CO-OP WORK EXPERIENCE (VISUAL ART),3,Not Transferable,0
AUT101,AUTOMOTIVE ELECTRICAL SYSTEMS,3,Not Transferable,0
AUT102,BRAKE AND CHASSIS REPAIR,3,Not Transferable,0
AUT103,STEERING AND SUSPENSION,3,Not Transferable,0
AUT104,TRANSMISSION AND DRIVE,3,Not Transferable,0
AUT106,POWER PLANT OVERHAUL,3,Not Transferable,0
AUT107,ON THE JOB TRAINING I,2,Not Transferable,0
AUT201,ADVANCED ENGINE DIAGNOSTICS,3,Not Transferable,0
AUT202,AUTO SERVICE AND PARTS MANAGEMENT,3,Not Transferable,0
AUT246,ON THE JOB TRAINING II,2,Not Transferable,0
AUT247,ON THE JOB TRAINING III,1,Not Transferable,0
AUT248,ON THE JOB TRAINING IV,2,Not Transferable,0
AUT249,ON THE JOB TRAINING V,2,Not Transferable,0
AUT250,ON THE JOB TRAINING VI,1,Not Transferable,0
AUT251,ON THE JOB TRAINING VII,1,Not Transferable,0
AUT252,ON THE JOB TRAINING VIII,2,Not Transferable,0
AVT100,INTRODUCTION TO  AERONAUTICS,4,Not Transferable,0
AVT115,AVIATION METEOROLOGY,3,Not Transferable,0
AVT210,INTRO TO AIRCRAFT AVIONICS I,4,Not Transferable,0
AVT240,INTRODUCTION TO AVIATION SAFETY,3,Not Transferable,0
BIO101,GENERAL BIOLOGY I,4,21120102,4
BIO103,THE HUMAN BODY,4,EC,4
BIO104,MICROBIOLOGY,4,21120235,4
BIO106,FIELD STUDIES IN BIOLOGY,3,21120371,3
BIO107,INTRODUCTION TO HUMAN BIOLOGY,4,EC,4
BIO108,INTRODUCTION TO ENVIRONMENTAL BIOLOGY,4,EC,4
BIO109,ANATOMY AND PHYSIOLOGY I,4,"01119EC ""R21""",4
BIO115,VERTEBRATE ANATOMY AND PHYSIOLOGY I,4,21120141,4
BIO119,INTENSIVE WOLF STUDY,3,21120381,3
BIO130,PEOPLE-PLANT RELATIONSHIPS,4,11776170,4
BIO131,GENERAL BOTANY,4,21120230,4
BIO137,ECOLOGY OF THE NORTH WOODS,3,EC,3
BIO201,COMPARATIVE ANATOMY,4,21120320,4
BIO202,EMBRYOLOGY,4,21120342,4
BIO203,GENERAL BIOLOGY II,4,21120101,4
BIO209,ANATOMY AND PHYSIOLOGY II,4,"01119EC ""R21""",4
BIO210,INTRODUCTION TO BIOTECHNOLOGY,4,11126NM,4
BIO211,INTRODUCTION TO BIOINFORMATICS,3,11126NM,3
BIO215,VERTEBRATE ANATOMY AND PHYSIOLOGY II,4,21120142,4
BIO217,SUSTAINABLE PEOPLE-PLANT RELATIONS,4,EC,4
BIO221,COMPARATIVE VERTEBRATE ANATOMY,4,EC,4
BIO222,EMBRYOLOGY,4,Not Transferable,0
BIO224,ENVIRONMENTAL MICROBIOLOGY,4,EC,4
BIO225,INVERTEBRATE ZOOLOGY,4,11704324,4
BIO227,PRINCIPLES OF ECOLOGY,4,21120370,4
BIO228,INTRODUCTION TO MARINE BIOLOGY,4,21120481,4
BIO229,TROPICAL MARINE ECOLOGY,4,EC,3
BIO240,BIOMEDICAL TECHNOLOGIES:ISSUES AND IMPACTS,3,EC,3
BIO250,PHYS ACT OF CANN IN HUMANS,3,EC,3
BIO251,COMM PRAC IN CULT CANN SPECIE,3,Not Transferable,0
BNF101,PRINCIPLES OF BANKING,3,EC,3
BNF102,PERSONAL FINANCE AND MONEY MANAGEMENT,3,EC,3
BNF103,SPORTS FINANCE,3,Not Transferable,0
BNF201,PRINCIPLES OF FINANCE,3,29390329,3
BNF202,ASSET MANAGEMENT,3,Not Transferable,0
BNF203,CASH MANAGEMENT,3,Not Transferable,0
BNF204,TRUST FUNCTIONS AND SERVICES,3,EC,3
BNF205,CREDIT AND COLLECTION PRINCIPLES I,3,EC,3
BNF206,CREDIT AND COLLECTION PRINCIPLES II,3,EC,3
BNF207,PRINCIPLES OF INVESTMENT AND PORTFOLIO MANAGEMENT,3,EC,3
BNF208,INTERNATIONAL FINANCE,3,EC,3
BNF292,CO-OP WORK EXPERIENCE (BANKING AND FINANCE),2,Not Transferable,0
BNF293,CO-OP BANKING AND FINANCE,3,Not Transferable,0
BNF462,CO-OP WORK EXPERIENCE (BANKING AND FINANCE),2,Not Transferable,0
BNF463,CO-OP WORK EXPERIENCE [BANKING AND FINANCE],3,Not Transferable,0
BUS101,INTRODUCTION TO BUSINESS,3,EC,3
BUS102,RETAILING,3,Not Transferable,0
BUS103,BUSINESS MATHEMATICS,3,EC,3
BUS104,CUSTOMER SERVICE,3,Not Transferable,0
BUS105,BUSINESS COMMUNICATIONS,3,PENDING,0
BUS106,SALESMANSHIP,3,EC,3
BUS106,EFFECTIVE SELLING,3,Not Transferable,0
BUS107,E-TAILING,3,Not Transferable,0
BUS110,TRANSPORTATION LOGISTICS,3,Not Transferable,0
BUS111,INTRODUCTION TO HEALTHCARE ADMINISTRATION,3,Not Transferable,0
BUS115,INTRODUCTION TO NONPROFIT ORGANIZATIONS,3,Not Transferable,0
BUS116,FUNDING AND GRANT MANAGEMENT,3,Not Transferable,0
BUS117,FUNDRAISING FOR NONPROFIT ORGANIZATIONS,3,Not Transferable,0
BUS118,PRINCIPLES OF PUBLISHING OPERATIONS,3,Not Transferable,0
BUS120,SOCIAL NETWORKING FOR BUSINESS,3,Not Transferable,0
BUS129,EVENT PLANNING AND MANAGEMENT I,3,Not Transferable,0
BUS150,SPORT AND TEAM BRANDING,3,Not Transferable,0
BUS170,SMALL BUSINESS MANAGEMENT,3,EC,3
BUS201,MARKETING PRINICPLES,3,29630301,3
BUS202,INTERNATIONAL MARKETING,3,EC,3
BUS203,SPORTS MARKETING,3,Not Transferable,0
BUS204,PRINCIPLES OF SALESMANSHIP,3,EC,3
BUS205,ENTREPRENEURSHIP,3,EC,3
BUS207,PRINCIPLES OF BUSINESS MANAGEMENT,3,29620300,3
BUS208,HUMAN RESOURCE MANAGEMENT,3,EC,3
BUS209,PURCHASING AND MATERIALS MANAGEMENT,3,EC,3
BUS210,E-MARKETING,3,PENDING,0
BUS211,INTERNET LAW,3,PENDING,0
BUS229,EVENT PLANNING AND MANAGEMENT II,3,Not Transferable,0
BUS233,BUSINESS LAW I,3,29010319,3
BUS234,BUSINESS LAW II,3,29010320,3
BUS250,ADVERTISING,3,EC,3
BUS251,SPORTS MERCHANDISING AND PROMOTION,3,Not Transferable,0
BUS262,FUNDAMENTALS OF INTERNATIONAL BUSINESS,3,EC,3
BUS263,INTERNATIONAL TRADE DOCUMENTATION /TRANSPORTATION,3,EC,3
BUS264,INTERNATIONAL FINANCE,3,EC,3
BUS266,SANITATION/REGULATORY ISSUES/PROBLEMS IN FOOD IND,3,EC,3
BUS267,"FOOD DISTRIBUTION, SALES AND PRODUCTION",3,EC,3
BUS268,STRATEGIC ISSUES/PROBLEMS IN FOOD INDUSTRY MGMT,3,EC,3
BUS270,SMALL BUSINESS MANAGEMENT II,3,FEC,3
BUS271,E-COMMERCE,3,EC,3
BUS283,CO-OP WORK EXPERIENCE (FOOD MARKETING),3,Not Transferable,0
BUS284,CO-OP WORK EXPERIENCE (FOOD MARKETING),4,Not Transferable,0
BUS293,CO-OP WORK EXPERIENCE (BUSINESS ADMINISTRATION),3,Not Transferable,0
BUS463,CO-OP WORK EXPERIENCE (BUSINESS ADMINISTRATION),3,Not Transferable,0
BUS473,CO-OP WORK EXPERIENCE (FOOD MARKETING),3,Not Transferable,0
BUS474,CO-OP WORK EXPERIENCE (FOOD MARKETING),4,Not Transferable,0
CHM100,INTRODUCTION TO CHEMISTRY,4,EC,4
CHM102,CHEMISTRY IN CONTEXT,4,01160127,3
CHM110,BASIC BIOCHEMISTRY,4,01160128,4
CHM112,COLLEGE CHEMISTRY,4,01160128,4
