code,name,credits,equivalency,transfer_credit
ACAD081,TRANSITION TO COLLEGE,3,Not Transferable,0
ACAD084,ACADEMIC SKILLS WORKSHOP I,4,Not Transferable,0
ACAD085,ACADEMIC SKILLS WORKSHOP II,4,Not Transferable,0
ACAD086,ACADEMIC SKILLS WORKSHOP III,4,Not Transferable,0
ACAD088,ACADEMIC SKILLS WORKSHOP V: WORD PROCESSING,4,Not Transferable,0
ACAD089,ACADEMIC SKILLS WORKSHOP IV,3,Not Transferable,0
ACCT101,PRINCIPLES OF ACCOUNTING I,3,EC,3
ACCT102,PRINCIPLES OF ACCOUNTING II,3,TRT10QU,3
ACCT103,COMPUTER APPLICATIONS IN ACCOUNTING I,1,EC,1
ACCT105,INTRODUCTION TO QUICKBOOKS,3,TRT10EC,3
ACCT112,MANAGERIAL ACCOUNTING,3,33010275,3
ACCT112,MANAGERIAL ACCOUNTING,3,33010275,3
ACCT115,FEDERAL INCOME TAX,3,TRT10EC,3
ACCT203,INTERMEDIATE ACCOUNTING I,3,EC,3
ACCT204,INTERMEDIATE ACCOUNTING II,3,TRT10QU,3
ACCT295,SPECIAL PROJECT - ACCOUNTING,1,TRT10QU,3
ACCT299,ACCOUNTING INTERNSHIP,3,TRT10QU,3
ADEC110,INTRODUCTION TO DENTAL PROFESSION,4,TRT10TEC,4
ADEC111,DENTAL HEAD AND NECK ANATOMY,3,TRT10TEC,3
ADEC112,DENTAL MATERIALS,3,TRT10TEC,3
ADEC113,MEDICAL EMERGENCY IN THE DENTAL OFFICE,1,TRT10TEC,1
ADEC114,DENTAL HEALTH EDUCATION,1,10832EC,1
ADEC115,DENTAL RADIOLOGY,3,TRT10TEC,3
ADEC116,DENTAL SPECIALTIES I,1,TRT10TEC,1
ADEC117,PRACTICE MANAGEMENT,1,TRT10TEC,1
AMSL101,AMERICAN SIGN LANGUAGE I,3,04192120,3
AMSL102,AMERICAN SIGN LANGUAGE II,3,04192121,3
ANTH105,CULTURAL ANTHROPOLOGY,3,01070EC,3
ANTH106,CULTURES OF THE WORLD,3,TRT10DIV,3
ANTH115,INTRODUCTION TO ARCHAEOLOGY,3,01070EC,3
ANTH115,INTRODUCTION TO ARCHAEOLOGY,3,TRT10SS,3
ANTH116,INTRODUCTION TO PHYSICAL ANTHROPOLOGY,3,01070NM,3
ANTH116,INTRODUCTION TO PHYSICAL ANTHROPOLOGY,3,TRT10SCI,3
ANTH116,INTRODUCTION TO PHYSICAL ANTHROPOLOGY,3,TRT10SS,3
ANTH125,INTRODUCTION TO HUMAN ECOLOGY,3,11374101,3
ANTH126,INTRODUCTION TO HUMAN ECOLOGY LAB,1,TRT10EC,1
ANTH205,CULTURE AND PERSONALITY,3,01070301,3
ANTH215,ARCHAEOLOGICAL LAB PRACTICUM,3,To Be Determined,0
ANTH216,FIELDWORK IN ARCHAEOLOGY,3,TRT10EC,3
ANTH216,FIELDWORK IN ARCHAEOLOGY,3,Pending,0
ANTH295,SPECIAL PROJECT - ANTHROPOLOGY,1,TRT10EC,6
ARAB101,ELEMENTARY ARABIC I,4,01013140,4
ARAB102,ELEMENTARY ARABIC II,4,01013141,4
ARCH121,PEOPLE AND THEIR ENVIRONMENT,3,10762316,3
ARCH121,PEOPLE AND THEIR ENVIRONMENT,3,10971EC,3
ARCH131,INTRODUCTION TO DESIGN I,4,TRT10HUM,4
ARCH131,INTRODUCTION TO DESIGN I,5,TRT10HUM,5
ARCH131,INTRODUCTION TO DESIGN I,5,10971EC,5
ARCH132,INTRODUCTION TO DESIGN II,4,TRT10HUM,4
ARCH132,INTRODUCTION TO DESIGN II,5,TRT10HUM,5
ARCH132,INTRODUCTION TO DESIGN II,5,10971EC,5
ARCH151,ARCHITECTURAL CONSTRUCTION I,3,TRT10HUM,3
ARCH151,ARCHITECTURAL CONSTRUCTION I,3,10971EC,3
ARCH152,ARCHITECTURAL CONSTRUCTION II,3,TRT10HUM,3
ARCH152,ARCHITECTURAL CONSTRUCTION II,3,10971EC,3
ARCH201,HISTORY OF WESTERN ARCHITECTURE,3,01082EC,3
ARCH201,HISTORY OF WESTERN ARCHITECTURE,3,10971EC,3
ARCH225,3D ARCHITECTURAL CADD,3,TRT10HUM,3
ARCH225,3D ARCHITECTURAL CADD,3,10971EC,3
