code,name,credits,equivalency,transfer_credit
ACAD081,TRANSITION TO COLLEGE,3,Not Transferable,0
ACAD084,ACADEMIC SKILLS WORKSHOP I,4,Not Transferable,0
ACAD085,ACADEMIC SKILLS WORKSHOP II,4,Not Transferable,0
ACAD086,ACADEMIC SKILLS WORKSHOP III,4,Not Transferable,0
ACAD088,ACADEMIC SKILLS WORKSHOP V: WORD PROCESSING,4,Not Transferable,0
ACAD089,ACADEMIC SKILLS WORKSHOP IV,3,Not Transferable,0
ACCT101,PRINCIPLES OF ACCOUNTING I,3,Not Transferable,0
ACCT102,PRINCIPLES OF ACCOUNTING II,3,Not Transferable,0
ACCT103,COMPUTER APPLICATIONS IN ACCOUNTING I,1,Not Transferable,0
ACCT105,INTRODUCTION TO QUICKBOOKS,3,Not Transferable,0
ACCT112,MANAGERIAL ACCOUNTING,3,Not Transferable,0
ACCT115,FEDERAL INCOME TAX,3,Not Transferable,0
ACCT203,INTERMEDIATE ACCOUNTING I,3,Not Transferable,0
ACCT204,INTERMEDIATE ACCOUNTING II,3,Not Transferable,0
ACCT295,SPECIAL PROJECT - ACCOUNTING,1,Not Transferable,0
ACCT299,ACCOUNTING INTERNSHIP,3,Not Transferable,0
ADEC110,INTRODUCTION TO DENTAL PROFESSION,4,Not Transferable,0
ADEC111,DENTAL HEAD AND NECK ANATOMY,3,Not Transferable,0
ADEC112,DENTAL MATERIALS,3,Not Transferable,0
ADEC113,MEDICAL EMERGENCY IN THE DENTAL OFFICE,1,Not Transferable,0
ADEC114,DENTAL HEALTH EDUCATION,1,Not Transferable,0
ADEC115,DENTAL RADIOLOGY,3,Not Transferable,0
ADEC116,DENTAL SPECIALTIES I,1,Not Transferable,0
ADEC117,PRACTICE MANAGEMENT,1,Not Transferable,0
AMSL101,AMERICAN SIGN LANGUAGE I,3,04192120,3
AMSL102,AMERICAN SIGN LANGUAGE II,3,Not Transferable,0
ANTH105,CULTURAL ANTHROPOLOGY,3,01070EC,3
ANTH106,CULTURES OF THE WORLD,3,EC,3
ANTH115,INTRODUCTION TO ARCHAEOLOGY,3,01070EC,3
ANTH116,INTRODUCTION TO PHYSICAL ANTHROPOLOGY,3,01070NM,3
ANTH125,INTRODUCTION TO HUMAN ECOLOGY,3,11374101,3
ANTH126,INTRODUCTION TO HUMAN ECOLOGY LAB,1,Not Transferable,0
ANTH205,CULTURE AND PERSONALITY,3,01070301,3
ANTH215,ARCHAEOLOGICAL LAB PRACTICUM,3,Not Transferable,0
ANTH216,FIELDWORK IN ARCHAEOLOGY,3,Not Transferable,0
ANTH216,FIELDWORK IN ARCHAEOLOGY,3,Pending,0
ANTH295,SPECIAL PROJECT - ANTHROPOLOGY,1,Not Transferable,0
ARAB101,ELEMENTARY ARABIC I,4,Not Transferable,0
ARAB102,ELEMENTARY ARABIC II,4,Not Transferable,0
ARCH121,PEOPLE AND THEIR ENVIRONMENT,3,EC,3
ARCH131,INTRODUCTION TO DESIGN I,4,Not Transferable,0
ARCH131,INTRODUCTION TO DESIGN I,5,Not Transferable,0
ARCH132,INTRODUCTION TO DESIGN II,4,Not Transferable,0
ARCH132,INTRODUCTION TO DESIGN II,5,Not Transferable,0
ARCH151,ARCHITECTURAL CONSTRUCTION I,3,Not Transferable,0
ARCH152,ARCHITECTURAL CONSTRUCTION II,3,Not Transferable,0
ARCH201,HISTORY OF WESTERN ARCHITECTURE,3,01082EC,3
ARCH225,3D ARCHITECTURAL CADD,3,Not Transferable,0
ARCH235,MEDIA AND COMMUNICATION: PORTFOLIO DEVELOPMENT,4,Not Transferable,0
ARCH245,HISTORY OF ARCHITECTURE - PRE-HISTORIC TO GOTHIC,3,07081EC,3
ARCH246,HISTORY OF ARCHITECTURE - RENAISSANCE TO 19TH CENT,3,07081EC,3
ARCH247,HISTORY OF ARCH: INDUSTRIAL REVOLUTION - MODERNISM,3,07081EC,3
ARCH248,HISTORY OF WESTERN ARCHITECTURE,3,EC,3
ARCH261,ARCHITECTURAL STUDIO I,5,Not Transferable,0
ARCH262,ARCHITECTURAL STUDIO II,5,Not Transferable,0
ARCH295,SPECIAL PROJECT - ARCHITECTURE,1,Not Transferable,0
ARTC141,DIGITAL PAINT I,3,Not Transferable,0
ARTC142,DIGITAL PAINT II,3,Not Transferable,0
ARTC147,DESKTOP PUBLISHING I,3,Not Transferable,0
