code,name,credits,equivalency,transfer_credit
ACC105,COMPUTERIZED ACCOUNTING,3,Not Transferable,0
ACC108,ACCOUNTING FOR HOSPITALITY,3,Not Transferable,0
ACC110,ELEMENTS OF ACCOUNTING,3,EC,3
ACC111,PRINCIPLES OF ACCOUNTING I - FINANCIAL ACCOUNTING,3,29010203,3
ACC112,PRINCIPLES OF ACCOUNTING II-MANAGERIAL ACCOUNTING,3,29010204,3
ACC211,INTERMEDIATE ACCOUNTING I,3,EC,3
ACC212,INTERMEDIATE ACCOUNTING II,3,PENDING,0
ACC213,TAX PROCEDURES,3,EC,3
ACC215,COST ACCOUNTING,3,PENDING,0
ACC230,PRINCIPLES OF AUDITING,3,PENDING,0
ACC231,GOVERNMENT AND NOT-FOR-PROFIT ACCOUNTING,3,PENDING,0
ACS024,ACADEMIC STRATEGIES I,3,Not Transferable,0
ACS030,PRELIMINARY COOP ED,0,Not Transferable,0
ACS103,LEARNING TECHNIQUES,3,Not Transferable,0
ACS111,BECOMING A MASTER STUDENT,1,Not Transferable,0
ACS125,ACADEMIC STRATEGIES II,3,Not Transferable,0
AGR011,ORIENTATION TO CAREERS IN AGRICULTURAL TECHNOLOGY,1,Not Transferable,0
AGR109,PLANT SCIENCE I,3,EC,3
AGR112,PLANT SCIENCE II,4,EC,4
AGR114,"LANDSCAPE PLANT IDENTIFICATION, MANAGEMENT,",3,EC,3
AGR115,HORTICULTURAL COMPUTER SOFTWARE,3,Not Transferable,0
AGR116,HORTICULTURAL SOILS,4,EC,4
AGR122,GROUNDS MAINTENANCE AND DEVELOPMENT,2,Not Transferable,0
AGR211,LANDSCAPE DESIGN AND PLANNING I,3,EC,3
AGR212,LANDSCAPE DESIGN AND PLANNING II,3,EC,3
AGR215,PLANT PEST MANAGEMENT,4,EC,4
AGR217,LANDSCAPE SURVEYING,3,Not Transferable,0
AGR231,LANDSCAPE CONSTRUCTION AND EQUIPMENT,3,EC,3
AGR233,COOPERATIVE AGRICULTURAL EXPERIENCE,3,Not Transferable,0
ARA111,ELEMENTARY ARABIC I,3,21074101,3
ARA112,ELEMENTARY ARABIC II,3,21074102,3
ARA211,INTERMEDIATE ARABIC I,3,EC,3
ART101,ART START - A CREATIVE EXPERIENCE,3,21082101,3
ART102,INDEP STUD-INTRO COMP FINE ART,1,Not Transferable,0
ART111,WESTERN ART HISTORY I,3,21082101,3
ART112,WESTERN ART HISTORY II,3,21082102,3
ART114,CONTEMPORARY ART,3,To Be Determined,0
ART116,AMERICAN ART,3,EC,3
ART119,DRAWING I,3,21080121,3
ART120,DRAWING II,3,EC,3
ART121,FIGURE DRAWING,3,To Be Determined,0
ART122,DRAWING I,3,PENDING,0
ART123,DRAWING II,3,PENDING,0
ART124,FIGURE DRAWING,3,PENDING,0
ART125,COLOR AND DESIGN I,3,PENDING,0
ART126,COLOR AND DESIGN II,3,PENDING,0
ART127,TWO-DIMENSIONAL DESIGN,3,21080102,3
ART128,COLOR THEORY,3,EC,3
ART129,THREE-DIMENSIONAL DESIGN,3,21080103,3
ART130,TWO-DIMENSIONAL DESIGN,3,PENDING,0
ART131,COLOR THEORY,3,PENDING,0
ART132,THREE-DIMENSIONAL DESIGN,3,PENDING,0
ART133,ART HISTORY I,3,21082101,3
ART134,ART HISTORY II,3,21080102,3
