code,name,credits,equivalency,transfer_credit
ACC100,ACCOUNTING FUNDAMENTALS,4,Not Transferable,0
ACC101,PRINCIPALS OF ACCOUNTING I - FINANCIAL,4,Not Transferable,0
ACC102,PRINCIPALS OF ACCOUNTING II - MANAGERIAL,4,Not Transferable,0
ACC121,ACCOUNTING SYSTEMS AND MICROCOMPUTERS,4,Not Transferable,0
ACC201,INTERMEDIATE ACCOUNTING I,4,Not Transferable,0
ACC202,INTERMEDIATE ACCOUNTING II,4,Not Transferable,0
ACC211,COST ACCOUNTING,4,Not Transferable,0
ACC231,FEDERAL TAXATION,4,Not Transferable,0
ACC232,COMPUTERIZED ACCOUNTING,4,Not Transferable,0
ANT101,CULTURAL ANTHROPOLOGY,3,01070EC,3
ANT105,PHYSICAL ANTHROPOLOGY AND PRE-HISTORY,3,01070EC,3
ARB101,ELEMENTARY ARABIC I,3,Not Transferable,0
ARB102,ELEMENTARY ARABIC II,3,Not Transferable,0
ARC101,ARCHITECTURAL DESIGN I,4,Not Transferable,0
ARC102,ARCHITECTURAL DESIGN II,4,Not Transferable,0
ARC111,HISTORY OF ARCHITECTURE I,3,01082EC,3
ARC112,HISTORY OF ARCHITECTURE II,3,EC,3
ARC131,CONSTRUCTION METHODS I,3,Not Transferable,0
ARC132,CONSTRUCTION METHODS II,3,Not Transferable,0
ARC151,MODES OF COMMUNICATION,3,Not Transferable,0
ARC152,ARCHITECTURAL CAD GRAPHICS,3,Not Transferable,0
ARC201,ARCHITECTURAL DESIGN III,4,Not Transferable,0
ARC202,ARCHITECTURAL DESIGN IV,4,Not Transferable,0
ART100,ART APPRECIATION,3,EC,3
ART101,ART HISTORY I,3,01082105,3
ART102,ART HISTORY II,3,01082106,3
ART103,FUNDAMENTALS OF ART I,3,Not Transferable,0
ART104,FUNDAMENTALS OF ART II,3,Not Transferable,0
ART105,TWO DIMENSIONAL DESIGN,3,Not Transferable,0
ART106,THREE DIMENSIONAL DESIGN,3,Not Transferable,0
ART107,DRAWING I,3,Not Transferable,0
ART108,DRAWING II,3,Not Transferable,0
ART110,INTRODUCTION TO SCULPTURE,3,Not Transferable,0
ART111,FUNDAMENTALS OF PAINTING I,3,Not Transferable,0
ART112,FUNDAMENTALS OF PAINTING II,3,Not Transferable,0
ART119,MUSEUMS AND GALLERIES,3,EC,3
ART123,INTRODUCTION TO INTERIOR DESIGN,3,Not Transferable,0
ART140,INTRODUCTION TO PHOTOGRAPHY,3,Not Transferable,0
ART141,INTRODUCTION TO PHOTOGRAPHY II,3,Not Transferable,0
ART160,ELECTRONIC MECHANICALS/PRE-PRESS PRODUCTION,3,Not Transferable,0
