code,name,credits,equivalency,transfer_credit
ACC100,ACCOUNTING FUNDAMENTALS,4,EC,4
ACC101,PRINCIPALS OF ACCOUNTING I - FINANCIAL,4,29010203,4
ACC102,PRINCIPALS OF ACCOUNTING II - MANAGERIAL,4,29010204,4
ACC121,ACCOUNTING SYSTEMS AND MICROCOMPUTERS,4,EC,4
ACC201,INTERMEDIATE ACCOUNTING I,4,29010305,4
ACC202,INTERMEDIATE ACCOUNTING II,4,EC,4
ACC211,COST ACCOUNTING,4,EC,4
ACC231,FEDERAL TAXATION,4,EC,4
ACC232,COMPUTERIZED ACCOUNTING,4,Not Transferable,0
ANT101,CULTURAL ANTHROPOLOGY,3,21070204,3
ANT105,PHYSICAL ANTHROPOLOGY AND PRE-HISTORY,3,EC,3
ARB101,ELEMENTARY ARABIC I,3,EC,3
ARB102,ELEMENTARY ARABIC II,3,EC,3
ARC101,ARCHITECTURAL DESIGN I,4,EC,4
ARC102,ARCHITECTURAL DESIGN II,4,EC,4
ARC111,HISTORY OF ARCHITECTURE I,3,EC,3
ARC112,HISTORY OF ARCHITECTURE II,3,EC,3
ARC131,CONSTRUCTION METHODS I,3,EC,3
ARC132,CONSTRUCTION METHODS II,3,EC,3
ARC151,MODES OF COMMUNICATION,3,Not Transferable,0
ARC152,ARCHITECTURAL CAD GRAPHICS,3,Not Transferable,0
ARC201,ARCHITECTURAL DESIGN III,4,EC,4
ARC202,ARCHITECTURAL DESIGN IV,4,EC,4
ART100,ART APPRECIATION,3,EC,3
ART101,ART HISTORY I,3,21082101,3
ART102,ART HISTORY II,3,21082102,3
ART103,FUNDAMENTALS OF ART I,3,EC,3
ART104,FUNDAMENTALS OF ART II,3,EC,3
ART105,TWO DIMENSIONAL DESIGN,3,21080102,3
ART106,THREE DIMENSIONAL DESIGN,3,21080103,3
ART107,DRAWING I,3,21080121,3
ART108,DRAWING II,3,21080121,3
ART110,INTRODUCTION TO SCULPTURE,3,EC,3
ART111,FUNDAMENTALS OF PAINTING I,3,21080251,3
ART112,FUNDAMENTALS OF PAINTING II,3,21080251,3
ART119,MUSEUMS AND GALLERIES,3,EC,3
ART123,INTRODUCTION TO INTERIOR DESIGN,3,EC,3
ART140,INTRODUCTION TO PHOTOGRAPHY,3,21080261,3
ART141,INTRODUCTION TO PHOTOGRAPHY II,3,21080261,3
ART160,ELECTRONIC MECHANICALS/PRE-PRESS PRODUCTION,3,EC,3
ART161,COMPUTER ENHANCED LAYOUT AND DESIGN,3,EC,3
ART163,DIGITAL VIDEO GRAPHIC DESIGN,3,PENDING,0
ART164,INTRODUCTION TO CARTOONING AND ILLUSTRATION,3,PENDING,0
ART167,INTRODUCTION TO COMPUTER GRAPHICS,3,EC,3
ART168,DESKTOP PUBLISHING/PRESENTATION GRAPHICS,3,EC,3
ART169,ADVANCED COMPUTER GRAPHICS,3,EC,3
ART170,BASIC WEB PAGE DESIGN,3,EC,3
ART171,CYBERSPACE GRAPHICS AND BEGINNING ANIMATION,3,PENDING,0
ART200,THE ART OF THE AFRICAN-AMERICAN,3,EC,3
ART205,TWO DIMENSIONAL DESIGN,3,07081101,3
ART205,TWO DIMENSIONAL DESIGN,3,EC,3
ART206,THREE DIMENSIONAL DESIGN,3,07081102,3
ART206,THREE DIMENSIONAL DESIGN,3,EC,3
BIO100,FOUNDATIONS OF BIOLOGY,4,EC,4
BIO101,COLLEGE BIOLOGY I,4,EC,4
BIO102,COLLEGE BIOLOGY II,4,EC,4
BIO103,GENERAL BIOLOGY I,4,21120102,4
BIO104,GENERAL BIOLOGY II,4,21120101,4
BIO111,MICROBIOLOGY FOR LPNS,3,01119131,3
BIO111,MICROBIOLOGY FOR LPNS,3,Not Transferable,0
BIO116,INTRODUCTION TO ANATOMY AND PHYSIOLOGY,4,EC,4
BIO117,FUNDAMENTALS OF ANATOMY AND PHYSIOLOGY I,4,01119NM,3
BIO118,FUNDAMENTALS OF ANATOMY AND PHYSIOLOGY II,4,01119NM,3
BIO119,PRINCIPLES OF ANATOMY AND PHYSIOLOGY I,4,EC,4
BIO121,ANATOMY AND PHYSIOLOGY I,4,"01119EC ""R21""",4
BIO122,ANATOMY AND PHYSIOLOGY II,4,"01119EC ""R21""",4
BIO125,ANATOMY AND PHYSIOLOGY OF THE EYE,3,EC,3
BIO132,CROSS SECTIONAL ANATOMY,3,EC,3
BIO171,ANATOMY FOR DENTAL ASSISTANTS,2,EC,2
BIO175,SURVEY OF BIOLOGICAL TECHNOLOGY,2,EC,2
BIO210,INTRODUCTION TO SCIENTIFIC RESEARCH METHODS,2,EC,2
BIO211,MICROBIOLOGY,4,01119131,4
BIO211,MICROBIOLOGY,4,01119131,4
BIO220,INTRODUCTION TO ENVIRONMENTAL SCIENCE,4,11375101,4
BIO221,KINESIOLOGY,3,EC,3
BIO222,KINESIOLOGY,4,EC,3
BIO225,PLANT SCIENCE,4,Not Transferable,0
BIO228,MOLECULAR BIOLOGY,4,01119EC,4
BIO229,BIOTECHNOLOGY LABORATORY,4,11126NM,4
BIO230,BIOTECHNOLOGY INTERNSHIP,4,Not Transferable,0
BIO230,ECOLOGY AND EVOLUTION,4,Not Transferable,0
BIO231,COMPARATIVE VERTEBRATE ANATOMY,4,21120320,4
BIO236,GENETICS LABORATORY,1,EC,1
BIO237,GENETICS WITH LABORATORY,4,PENDING,0
BIO241,PATHOPHYSIOLOGY,3,25705245,3
BIO249,FUNDAMENTALS IN ALTERNATIVE MEDICINE,3,EC,3
BIO251,PHARMACOLOGY FOR HEALTH PROFESSIONALS,3,EC,3
BIO290,HONORS BIOLOGY RESEARCH SEMINAR,4,Not Transferable,0
BUS100,BUSINESS WORKSHOP,3,Not Transferable,0
BUS101,BUSINESS ORGANIZATION AND MANAGEMENT,3,EC,3
BUS101,BUSINESS ORGANIZATION AND MANAGEMENT,3,TRT33EC,3
BUS105,INTRO TO HIP HOP BUSINESS,3,Not Transferable,0
BUS141,BUSINESS MATHEMATICS,3,EC,3
BUS201,PRINCIPLES OF MANAGEMENT,3,29620318,3
BUS203,INTRO TO ENTREPRENEURSHIP,3,Not Transferable,0
BUS204,INTRODUCTION TO ORGANIZATION BEHAVIOR IN BUSINESS,3,EC,3
BUS207,LEADERSHIP AND SUPERVISION IN ORGANIZATIONS,3,Not Transferable,0
BUS211,PRINCIPLES OF MARKETING,3,29630328,3
BUS212,PRINCIPLES OF RETAILING,3,EC,3
BUS213,PRINCIPLES OF SELLING,3,EC,3
BUS215,ADVERTISING PRINCIPLES,3,EC,3
BUS221,HUMAN RESOURCES MANAGEMENT,3,EC,3
BUS231,GLOBAL BUSINESS,3,EC,3
BUS251,BUSINESS LAW I,3,EC,3
BUS252,BUSINESS LAW II,3,29010320,3
BUS253,"THE LEGAL, ETHICAL AND GLOBAL ENVIRONMENT OF BUS",3,Not Transferable,0
BUS271,BUSINESS FINANCE,3,29390329,3
