code,name,credits,equivalency,transfer_credit
ACC121,PRINCIPLES OF ACCOUNTING I,4,TRT37QU,4
ACC121,PRINCIPLES OF ACCOUNTING I,3,33010272,3
ACC211,COMPUTERIZED ACCOUNTING,3,TRT37EC,3
ACC221,PRINCIPLES OF ACCOUNTING II,4,TRT37QU,4
ACC221,PRINCIPLES OF ACCOUNTING II,3,33010275,3
ACC224,FEDERAL TAXATION,3,TRT37EC,3
ACC226,AUDITING,3,EC,3
ACC228,COST ACCOUNTING,3,EC,3
ACC230,"PAYROLL, SALES AND LOCAL TAXES",3,EC,3
ACC240,INTERMEDIATE ACCOUNTING I,4,TRT37QU,4
ACC241,INTERMEDIATE ACCOUNTING II,4,TRT37QU,4
ACC299,INT.ACCOUNTING CONTROL,3,EC,3
ACC311,FEDERAL TAXATION,3,EC,3
ACC312,AUDITING,3,EC,3
ACC411,COST ACCOUNTING,3,EC,3
ACC412,PAYROLL SALES AND LOCAL TAXES,3,EC,3
ADM120,MANUFACTURING PROCESSES,3,TRT37TEC,3
ADM182,WOOD SCIENCE,3,TRT37EC,3
ADM185,FUNDAMENTALS OF ARCHITECHTURAL MANUFACTURING,3,TRT37TEC,3
ADM230,PASTIC MANUFACTURING,3,TRT37TEC,3
ADM231,COMPUTER NUMERIC CONTROL,3,TRT37TEC,3
ADM232,WELDING,4,TRT37TEC,4
ADM240,ROBOTICS,3,TRT37TEC,3
ADM241,MANUFACTURING DESIGN,3,TRT37TEC,3
ADM256,CNC FOR WOODWORKING,3,TRT37TEC,3
ADM282,MACHINE PROCESSES IN ARCHITECTURAL WOODWORK,3,TRT37TEC,3
AMD201,MATERIALS SCIENCE,3,TRT37TEC,3
AMS135,INTRODUCTION TO AMERICAN STUDIES,3,01050101,3
ANT101,INTRODUCTION TO CULTURAL ANTHROPOLOGY,3,01070EC,3
ANT102,INTRODUCTION TO PHYSICAL ANTHROPOLOGY,3,TRT37EC,3
ARC105,INTRODUCTION TO COMPUTER ARTS,3,TRT37EC,3
ARC106,DIGITAL IMAGING,3,TRT37TEC,3
ARC107,PRINT DESIGN,3,TRT37TEC,3
ARC109,INTERACTIVE WEB DESIGN,3,TRT37TEC,3
ARC115,3D DIGITAL DESIGN FOR FABRICATION,3,TRT37TEC,3
ARC201,DIGITAL VIDEO,3,TRT37TEC,3
ARC202,DIGITAL ANIMATION,3,TRT37TEC,3
ARC280,COMPUTER ART PORTFOLIO AND PRESENTATION,3,TRT37TEC,3
ART100,ART THROUGH THE AGES,3,EC,3
ART101,EXPERIENCING ART,3,07081101,3
ART101,EXPERIENCING ART,3,TRT37HUM,3
ART103,TWO DIMENSIONAL DESIGN,3,07081101,3
ART103,TWO DIMENSIONAL DESIGN,3,TRT37HUM,3
ART106,DRAWING I,3,07081122,3
ART106,DRAWING I,3,TRT37HUM,3
ART107,PAINTING I,3,07081251,3
ART107,PAINTING I,3,TRT37HUM,3
ART113,THREE DIMENSIONAL DESIGN,3,07081102,3
ART113,THREE DIMENSIONAL DESIGN,3,TRT37HUM,3
ART114,COLOR THEORY,3,07081228,3
ART114,COLOR THEORY,3,TRT37HUM,3
ART115,ART HISTORY I,3,01082105,3
ART116,DRAWING II,3,07081122,3
ART116,DRAWING II,3,TRT37HUM,3
ART117,PAINTING II,3,07081252,3
ART117,PAINTING II,3,TRT37HUM,3
ART120,SURVEY OF CONTEMPORARY ART,3,TRT37HUM,3
ART125,ART HISTORY II,3,01082106,3
ART126,FIGURE DRAWING,3,TRT37HUM,3
ART127,WATER COLOR,3,07081EC,3
ART127,WATER COLOR,3,TRT37HUM,3
ART130,PORTFOLIO AND PRESENTATION,3,TRT37HUM,3
ART210,INTRODUCTION TO GALLERY MANAGEMENT,3,TRT37TEC,3
ART220,ART IN CONTEXT,2,TRT37EC,2
ART220,ART IN CONTEXT,3,TRT37EC,3
ASL101,AMERICAN SIGN LANGUAGE I,3,TRT37HUM,3
ASL102,AMERICAN SIGN LANGUAGE II,3,TRT37HUM,3
BIO100,GENERAL BIOLOGY,3,TRT37SCI,3
BIO101,NUTRITION,2,To Be Determined,0
BIO107,HUMAN BIOLOGY,4,01119EC,4
BIO111,ANATOMY AND PHYSIOLOGY I,4,01377213,4
BIO111,ANATOMY AND PHYSIOLOGY I,4,10832BIO,4
BIO111,ANATOMY AND PHYSIOLOGY I,4,01119EC,4
BIO115,PRINCIPLES OF BIOLOGY I,4,01119101,4
BIO116,PRINCIPLES OF BIOLOGY II,4,01119102,4
BIO120,HUMAN SEXUAL BIOLOGY,3,01119182,3
BIO201,PRACTICAL NUTRITION,3,TRT37SCI,3
BIO208,ECOLOGY,4,11704351,4
BIO209,COMPARATIVE ANATOMY OF VERTEBRATES,4,TRT37SCI,4
BIO211,ANATOMY AND PHYSIOLOGY II,4,01377213,4
BIO211,ANATOMY AND PHYSIOLOGY II,4,01119EC,4
BIO211,ANATOMY AND PHYSIOLOGY II,4,01119EC,4
BIO230,HISTOLOGY,4,01146322,4
BIO240,GENETICS,4,TRT37SCI,4
BIO240,GENETICS,4,01447380,4
BIO250,MICROBIOLOGY,4,TRT37SCI,4
BIO260,MOLECULAR BIOLOGY,4,TRT37SCI,4
BIO270,CELL BIOLOGY,4,01146270,4
BTN201,MOLECULAR BIOLOGY,4,TRT37SCI,4
BUS101,BUSINESS MATHEMATICS,3,EC,3
BUS103,INTRODUCTION TO BUSINESS,3,33011100,3
BUS201,INTRODUCTION TO STATISTICS AND PROBABILITY,3,EC,3
BUS205,GLOBAL BUSINESS,3,TRT37SS,3
BUS230,BUSINESS LAW,3,33011204,3
BUS230,BUSINESS LAW,3,33011204,3
BUS230,BUSINESS LAW,3,37575220,3
BUS299,BUSINESS INTERNSHIP,3,TRT37EC,3
BUS301,BUSINESS LAW,3,EC,3
CAI101,PRODUCTION KITCHEN SKILLS I,2,EC,2
CAI102,BAKESHOP I,2,EC,2
CAI103,TABLE SERVICE I,0,Not Transferable,0
CAI104,CAFETERIA I,2,EC,2
CAI105,PANTRY,2,EC,2
CAI110,CAFETERIA I/PANTRY,2,EC,2
CAI113,FOOD SERVICE SANITATION,2,TRT37TEC,2
CAI114,TABLE SERVICE I,2,TRT37TEC,2
CAI115,FOOD SANITATION AND CULINARY PRINCIPLES,3,TRT37TEC,3
CAI117,PRODUCTION KITCHEN SKILLS I,2,TRT37TEC,2
CAI118,PANTRY AND BREAKFAST COOKERY,2,TRT37TEC,2
CAI119,BAKESHOP I,2,TRT37TEC,2
CAI120,TABLE SERVICE I,2,EC,2
CAI121,PRODUCT IDENTIFICATION AND PURCHASING,3,TRT37TEC,3
CAI123,STOREROOM AND PURCHASING OPERATIONS,2,TRT37TEC,2
CAI124,TABLE SERVICE II,2,TRT37TEC,2
CAI125,EXTERNSHIP I,1,TRT37TEC,1
CAI126,CAI EXTERNSHIP I,1,EC,1
CAI127,PRODUCTION KITCHEN SKILLS II,2,TRT37TEC,2
CAI128,INTRODUCTION TO GARDE MANGER,2,TRT37TEC,2
CAI129,BAKESHOP II,2,TRT37TEC,2
CAI140,TABLE SERVICE II,2,EC,2
CAI150,CAFETERIA II/INTRODUCTION TO GARDE MANGER I,2,EC,2
CAI200,BUFFET CATERING I/ADVANCED GARDE MANGER II,2,EC,2
CAI201,PRODUCTION SKILLS II,2,EC,2
CAI202,BAKESHOP II,2,EC,2
CAI203,TABLE SERVICE II,0,Not Transferable,0
CAI204,CAFETERIA II,2,EC,2
CAI205,INTRO TO GARDE MANGER,2,EC,2
CAI206,INTRO TO SUSTAINABILITY,3,TRT37EC,3
CAI210,MENU AND FACILITIES DESIGN,3,TRT37TEC,3
CAI212,FOOD AND BEVERAGE PURCHASING,2,EC,2
CAI213,MENU PLANNING AND FACILITIES DESIGN,2,TRT37TEC,2
CAI214,ADVANCED TABLE SERVICE III,2,TRT37TEC,2
CAI215,EXTERNSHIP II,1,TRT37TEC,1
CAI216,RESTAURANT OPERATIONS MANAGEMENT,3,TRT37TEC,3
