code,name,credits,equivalency,transfer_credit
ACC121,PRINCIPLES OF ACCOUNTING I,4,33010272,3
ACC121,PRINCIPLES OF ACCOUNTING I,4,33010272,3
ACC121,PRINCIPLES OF ACCOUNTING I,4,33010272,4
ACC121,PRINCIPLES OF ACCOUNTING I,3,EC,3
ACC211,COMPUTERIZED ACCOUNTING,3,Not Transferable,0
ACC221,PRINCIPLES OF ACCOUNTING II,4,33010272,3
ACC221,PRINCIPLES OF ACCOUNTING II,4,33010272,3
ACC221,PRINCIPLES OF ACCOUNTING II,4,33010272,4
ACC221,PRINCIPLES OF ACCOUNTING II,3,EC,3
ACC224,FEDERAL TAXATION,3,Not Transferable,0
ACC226,AUDITING,3,Not Transferable,0
ACC228,COST ACCOUNTING,3,Not Transferable,0
ACC230,"PAYROLL, SALES AND LOCAL TAXES",3,Not Transferable,0
ACC240,INTERMEDIATE ACCOUNTING I,4,29010203,4
ACC241,INTERMEDIATE ACCOUNTING II,4,EC,4
ACC299,INT.ACCOUNTING CONTROL,3,PENDING,0
ACC311,FEDERAL TAXATION,3,EC,3
ACC312,AUDITING,3,EC,3
ACC411,COST ACCOUNTING,3,EC,3
ACC412,PAYROLL SALES AND LOCAL TAXES,3,EC,3
ADM120,MANUFACTURING PROCESSES,3,Not Transferable,0
ADM182,WOOD SCIENCE,3,Not Transferable,0
ADM185,FUNDAMENTALS OF ARCHITECHTURAL MANUFACTURING,3,Not Transferable,0
ADM230,PASTIC MANUFACTURING,3,Not Transferable,0
ADM231,COMPUTER NUMERIC CONTROL,3,Not Transferable,0
ADM232,WELDING,4,Not Transferable,0
ADM240,ROBOTICS,3,Not Transferable,0
ADM241,MANUFACTURING DESIGN,3,Not Transferable,0
ADM256,CNC FOR WOODWORKING,3,Not Transferable,0
ADM282,MACHINE PROCESSES IN ARCHITECTURAL WOODWORK,3,Not Transferable,0
AMD201,MATERIALS SCIENCE,3,Not Transferable,0
AMS135,INTRODUCTION TO AMERICAN STUDIES,3,01050101,3
ANT101,INTRODUCTION TO CULTURAL ANTHROPOLOGY,3,21070204,3
ANT102,INTRODUCTION TO PHYSICAL ANTHROPOLOGY,3,Not Transferable,0
ARC105,INTRODUCTION TO COMPUTER ARTS,3,Not Transferable,0
ARC106,DIGITAL IMAGING,3,EC,3
ARC107,PRINT DESIGN,3,EC,3
ARC109,INTERACTIVE WEB DESIGN,3,EC,3
ARC115,3D DIGITAL DESIGN FOR FABRICATION,3,Not Transferable,0
ARC201,DIGITAL VIDEO,3,Not Transferable,0
ARC202,DIGITAL ANIMATION,3,Not Transferable,0
ARC280,COMPUTER ART PORTFOLIO AND PRESENTATION,3,Not Transferable,0
ART100,ART THROUGH THE AGES,3,EC,3
ART101,EXPERIENCING ART,3,07081101,3
ART101,EXPERIENCING ART,3,EC,3
ART103,TWO DIMENSIONAL DESIGN,3,07081101,3
ART103,TWO DIMENSIONAL DESIGN,3,EC,3
ART106,DRAWING I,3,07081122,3
ART106,DRAWING I,3,EC,3
ART107,PAINTING I,3,07081251,3
ART107,PAINTING I,3,EC,3
ART113,THREE DIMENSIONAL DESIGN,3,07081102,3
ART113,THREE DIMENSIONAL DESIGN,3,EC,3
ART114,COLOR THEORY,3,07081228,3
ART114,COLOR THEORY,3,EC,3
ART115,ART HISTORY I,3,01082105,3
ART116,DRAWING II,3,07081122,3
ART116,DRAWING II,3,EC,3
ART117,PAINTING II,3,07081252,3
ART117,PAINTING II,3,EC,3
ART120,SURVEY OF CONTEMPORARY ART,3,EC,3
ART125,ART HISTORY II,3,01082106,3
ART126,FIGURE DRAWING,3,Not Transferable,0
ART127,WATER COLOR,3,EC,3
ART130,PORTFOLIO AND PRESENTATION,3,Not Transferable,0
ART210,INTRODUCTION TO GALLERY MANAGEMENT,3,Not Transferable,0
ART220,ART IN CONTEXT,2,EC,2
ART220,ART IN CONTEXT,3,EC,3
ASL101,AMERICAN SIGN LANGUAGE I,3,EC,3
ASL102,AMERICAN SIGN LANGUAGE II,3,Not Transferable,0
BIO100,GENERAL BIOLOGY,3,EC,3
BIO101,NUTRITION,2,PENDING,0
BIO107,HUMAN BIOLOGY,4,01119EC,4
BIO111,ANATOMY AND PHYSIOLOGY I,4,"01119EC ""R21""",4
BIO115,PRINCIPLES OF BIOLOGY I,4,"01119EC ""R2""",4
BIO116,PRINCIPLES OF BIOLOGY II,4,"01119EC ""R2""",4
BIO120,HUMAN SEXUAL BIOLOGY,3,01119182,3
BIO201,PRACTICAL NUTRITION,3,EC,3
BIO208,ECOLOGY,4,11704351,4
BIO209,COMPARATIVE ANATOMY OF VERTEBRATES,4,EC,4
BIO211,ANATOMY AND PHYSIOLOGY II,4,"01119EC ""R21""",4
BIO230,HISTOLOGY,4,01146322,4
BIO240,GENETICS,4,EC,4
BIO250,MICROBIOLOGY,4,01119131,4
BIO260,MOLECULAR BIOLOGY,4,Not Transferable,0
BIO270,CELL BIOLOGY,4,EC,4
BTN201,MOLECULAR BIOLOGY,4,Not Transferable,0
BUS101,BUSINESS MATHEMATICS,3,Not Transferable,0
BUS103,INTRODUCTION TO BUSINESS,3,EC,3
BUS201,INTRODUCTION TO STATISTICS AND PROBABILITY,3,EC,3
BUS205,GLOBAL BUSINESS,3,Not Transferable,0
BUS230,BUSINESS LAW,3,EC,3
BUS299,BUSINESS INTERNSHIP,3,Not Transferable,0
