code,name,credits,equivalency,transfer_credit
ABT103,CODES FOR CONSTRUCTION AND DESIGN,3,EC,3
ABT104,CODES FOR CONSTRUCTION AND DESIGN,4,10971EC,4
ABT109,CONSTRUCTION MATERIALS,2,TRT10TEC,2
ABT120,ARCHITECTURAL TECHNOLOGY GRAPHICS,4,TRT10TEC,4
ABT122,ARCHITECTURAL WORKING DRAWINGS,5,EC,5
ABT124,ARCHITECTURAL WORKING DRAWINGS,4,10971EC,4
ABT127,ARCHITECTURAL DRAWING I,3,EC,3
ABT128,ARCHITECTURAL DRAWING II,3,EC,3
ABT129,ARCHITECTURAL DRAWING III,2,EC,2
ABT130,ARCHITECTURAL DRAWING IV,2,EC,2
ABT132,ARCHITECTURAL COMPUTER DRAFTING,2,10971EC,2
ABT210,CONSTRUCTION DRAWINGS,3,10971EC,3
ABT219,STRUCTURES I,3,EC,3
ABT220,REINFORCED CONCRETE STRUCTURES,3,10971EC,3
ABT299,CO-OP EDUC - ARCHITECTURAL/BUILDING CONTR TECH,3,TRT10TEC,3
ABT306,CO-OP EDUCATION - INDUSTRIAL EXPERIENCE,1,EC,1
ABT307,CO-OP EDUCATION - INDUSTRIAL EXPERIENCE,1,EC,1
ACC101,PRINCIPLES OF ACCOUNTING I,3,EC,3
ACC102,PRINCIPLES OF ACCOUNTING II,3,EC,3
ACC103,PRINCIPLES OF ACCOUNTING I,4,EC,4
ACC104,PRINCIPLES OF ACCOUNTING II,4,EC,4
ACC106,OFFICE ACCOUNTING I,3,TRT10EC,3
ACC106,Office Accounting I,3,TRT10EC,3
ACC107,FUNERAL SERVICE ACCOUNTING,3,EC,3
ACC108,HOSPITALITY ACCOUNTING,3,TRT10EC,3
ACC108,Hospitality Accounting,3,TRT10EC,3
ACC109,"FOOD, BEVERAGE, AND LABOR COST CONTROL",3,TRT10EC,3
ACC109,"Food,Beverage,and Labor Cost Control",3,TRT10EC,3
ACC111,PRINCIPLES OF FINANCIAL ACCOUNTING,4,TRT10QU,4
ACC111,PRINCIPLES OF FINANCIAL ACCOUNTING,4,10501207,4
ACC111,Principles of Financial Accounting,4,10501207,3
ACC112,PRINCIPLES OF MANAGERIAL ACCOUNTING,4,TRT10QU,4
ACC112,Principles of Managerial Accounting,4,TRT10QU,4
ACC201,INTERMEDIATE ACCOUNTING I,3,TRT10QU,3
ACC201,Intermediate Accounting I,3,TRT10EC,3
ACC202,INTERMEDIATE ACCOUNTING II,3,TRT10QU,3
ACC202,Intermediate Accounting II,3,TRT10EC,3
ACC203,FEDERAL INCOME TAXATION,3,TRT10QU,3
ACC203,Federal Income Taxation,3,TRT10EC,3
ACC204,AUDITING,3,TRT10QU,3
ACC204,Auditing,3,TRT10EC,3
ACC205,OFFICE ACCOUNTING II,3,TRT10EC,3
ACC205,Office Accounting II,3,TRT10EC,3
ACC206,OFFICE ACCOUNTING III,3,EC,3
ACC207,COMPUTERIZED ACCOUNTING,3,TRT10EC,3
ACC207,Computerized Accounting,3,TRT10EC,3
ACC208,COST ACCOUNTING,3,EC,3
ACC209,COST ACCOUNTING II,3,EC,3
ACC210,SECRETARIAL ACCOUNTING,3,EC,3
ACC211,GOVERNMENT AUDIT,3,EC,3
ACC212,FUNDAMENTALS OF ACCOUNTING I,3,EC,3
ACC213,FUNDAMENTALS OF ACCOUNTING II,3,EC,3
ACC214,ACCOUNTING FOR NON-PROFIT ORGANIZATIONS,3,TRT10QU,3
ACC214,Accounting for Non-Profit Organizations,3,TRT10EC,3
ACC215,COST ACCOUNTING,3,TRT10QU,3
ACC215,Cost Accounting,3,TRT10EC,3
ACC280,ACCOUNTING SEMINAR,1,EC,1
ACC299,CO-OP EDUCATION - ACCOUNTING,3,EC,3
ACC301,ADVANCED ACCOUNTING I,3,EC,3
ACC302,ADVANCED ACCOUNTING II,3,EC,3
ACC303,FINANCIAL STATEMENT ANALYSIS,3,EC,3
ACC305,CORPORATION TAXES,3,EC,3
ACC306,CO-OP EDUCATION I - ACCOUNTING,1,EC,1
ACC307,CO-OP EDUCATION II - ACCOUNTING,1,EC,1
ACC308,CO-OP EDUCATION III - ACCOUNTING,1,EC,1
ADD101,INTRODUCTION TO ADDICTIONS REHABILITATION,3,EC,3
ADD102,GROUP METHODS IN ADDICTIONS COUNSELING,3,EC,3
ADD103,ASSESSMENT IN ADDICTIONS REHABILITATION,3,EC,3
ADD104,ADDICTIONS COUNSELING FOR THE INDIVIDUAL/FAMILY,3,EC,3
ADD105,CASE MANAGEMENT,3,EC,3
ADD106,"ADDICTIONS EDUC WITH CLIENTS, FAMILY AND COMMUNITY",3,EC,3
ADD107,PROFESSIONAL RESPONSIBILITY FOR ADDICTIONS COUNSEL,3,EC,3
ADD108,COMMUNITY RESPONSIBILITY AND PREVENTIVE WORK,3,EC,3
ADD109,SENIOR SEMINAR AND PRACTICUM,3,EC,3
ADV101,ADVERTISING DESIGN I,3,TRT10HUM,3
