code,name,credits,equivalency,transfer_credit
ACC101,FINANCIAL ACCOUNTING,4,"EC ""R11,R46""",4
ACC102,MANAGERIAL ACCOUNTING,4,"33010274 ""R11,R46""",4
ACC102,MANAGERIAL ACCOUNTING,4,"EC ""R11,R46""",4
ACC103,PRINCIPLES OF ACCOUNTING I,4,"EC ""R11,R46""",4
ACC104,PRINCIPLES OF ACCOUNTING II,4,"EC ""R11,R46""",4
ACC106,ACCOUNTING FOR RETAIL MANAGEMENT,4,Not Transferable,0
ACC108,"ACCOUNTING PRACTICES FOR HOTELS, RESTAURANTS, INST",4,Not Transferable,0
ACC171,PRINCIPLES OF ACCOUNTING I - HONORS,4,Not Transferable,0
ACC172,PRINCIPLES OF ACCOUNTING II - HONORS,4,Not Transferable,0
ACC202,COST ACCOUNTING,4,Not Transferable,0
ACC203,ACCOUNTING SYSTEMS AND PROCEDURES,3,Not Transferable,0
ACC206,TAX ACCOUNTING,3,Not Transferable,0
ACC207,AUDITING,3,Not Transferable,0
ACC208,ACCOUNTING FIELD EXPERIENCE,3,Not Transferable,0
ACC211,INTERMEDIATE ACCOUNTING I,4,Not Transferable,0
ACC212,INTERMEDIATE ACCOUNTING II,4,Not Transferable,0
ACC221,FRAUD EXAMINATION,3,Not Transferable,0
ACC222,FRAUD DATA ANALYSIS,3,Not Transferable,0
ACC223,FRAUD AND THE LAW,3,Not Transferable,0
ACC224,ADVANCED FRAUD EXAMINATION,3,Not Transferable,0
ACC280,SENIOR ACCOUNTING SEMINAR,3,Not Transferable,0
AFS121,INTRODUCTION TO AFRICAN-AMERICAN STUDIES,3,01014103,3
AFS122,INTRODUCTION TO AFRICAN-AMERICAN AESTHETICS,3,01014240,3
AFS123,INTRODUCTION TO AFRICAN CIVILIZATIONS,3,01014274,3
AFS201,AFRICAN DIASPORA IN LATIN AMERICA,3,01590EC,3
AFS202,AFRICAN LATIN SOCIETIES,3,01590EC,3
AFS231,AFRICAN-AMERICAN HISTORY,3,01014203,3
AFS233,INTRODUCTION TO AFRICAN CIVILIZATION,3,EC,3
AFS234,AFRICAN-AMERICAN HISTORY,3,EC,3
AGD203,LAYOUT DESIGN AND TOPOGRAPHY I,2,Not Transferable,0
AGD204,LAYOUT DESIGN AND TOPOGRAPHY II,2,Not Transferable,0
AGD205,LAYOUT DESIGN,2,Not Transferable,0
AGD206,TOPOGRAPHY,2,Not Transferable,0
AGD209,PORTFOLIO PROJECT - ADVERTISING GRAPHICS DESIGN,2,Not Transferable,0
AGD211,ADVERTISING DESIGN I,2,Not Transferable,0
AGD212,ADVERTISING DESIGN,3,Not Transferable,0
AGD212,ADVERTISING DESIGN,3,Not Transferable,0
AGD213,TYPOGRAPHY,3,Not Transferable,0
AGD214,PRINT PRODUCTION,3,Not Transferable,0
AGD215,ADVERTISING PRODUCTION I,2,Not Transferable,0
AGD216,ADVERTISING PRODUCTION II,2,Not Transferable,0
AGD217,MECHANICAL PRINT PRODUCTION,2,Not Transferable,0
AGD218,COMPUTER PRE-PRESS,2,Not Transferable,0
AGD219,DIGITAL GRAPHICS,3,Not Transferable,0
AGD222,MEDIA ART AND DESIGN FIELD EXPERIENCE,3,Not Transferable,0
AGD280,PORTFOLIO,3,Not Transferable,0
AMW101,AUDIOMETRIC WORKSHOP,1,Not Transferable,0
ART103,ART IN INDUSTRY AND COMMERCE,2,Not Transferable,0
ART104,HISTORY OF PHOTOGRAPHY,3,01082EC,3
ART105,INTRODUCTION TO ART,3,EC,3
ART109,DRAWING,3,07081121,3
ART109,DRAWING,3,EC,3
ART110,FIGURE DRAWING,3,07081223,3
ART110,FIGURE DRAWING,3,EC,3
ART115,SURVEY OF NON-WESTERN ART,3,01082250,3
ART120,SURVEY OF AMERICAN ART,3,01082EC,3
ART123,ART HISTORY: ANCIENT TO RENAISSANCE,3,01082105,3
ART124,ART HISTORY: RENAISSANCE TO MODERN,3,01082106,3
ART125,ART HISTORY: MODERN AND CONTEMPORARY,3,01082390,3
ART145,ART FUNDAMENTALS: TWO DIMENSIONS,3,07081101,3
ART145,ART FUNDAMENTALS: TWO DIMENSIONS,3,EC,3
ART146,ART FUNDAMENTALS: THREE DIMENSIONS,3,07081102,3
ART146,ART FUNDAMENTALS: THREE DIMENSIONS,3,EC,3
ART148,ART PORTFOLIO WORKSHOP,1,07081105,1
ART148,ART PORTFOLIO WORKSHOP,1,EC,1
ART149,ART STUDIO SEMINAR,1,07081105,1
ART149,ART STUDIO SEMINAR,1,EC,1
ART150,INTRODUCTION TO MIXED MEDIA,3,EC,3
ART170,ART HISTORY: ANCIENT TO RENAISSANCE (HONORS),3,01082105,3
ART171,ART HISTORY: RENAISSANCE TO MODERN (HONORS),3,01082106,3
ART201,CERAMICS: HAND BUILDING,3,07081211,3
ART201,CERAMICS: HAND BUILDING,3,EC,3
ART202,CERAMICS: WHEEL THROWING,3,07081212,3
ART202,CERAMICS: WHEEL THROWING,3,EC,3
ART205,ADVANCED CERAMICS WORKSHOP,3,07081311,3
ART205,ADVANCED CERAMICS WORKSHOP,3,EC,3
ART208,ART SEMINAR AND CO-OP EDUCATION WORK EXPERIENCE,3,07081393,3
ART208,ART SEMINAR AND CO-OP EDUCATION WORK EXPERIENCE,3,EC,3
ART219,GRAPHIC ARTS: TRADITIONAL,3,07081277,3
ART219,GRAPHIC ARTS: TRADITIONAL,3,EC,3
ART220,GRAPHIC ARTS: CONTEMPORARY,3,EC,3
ART221,PAINTING: TRADITIONAL,3,07081251,3
ART221,PAINTING: TRADITIONAL,3,EC,3
ART222,PAINTING: CONTEMPORARY,3,07081252,3
ART222,PAINTING: CONTEMPORARY,3,EC,3
ART223,SCULPTURE: TRADITIONAL,3,07081281,3
ART223,SCULPTURE: TRADITIONAL,3,EC,3
ART224,SCULPTURE: CONTEMPORARY,3,07081282,3
ART224,SCULPTURE: CONTEMPORARY,3,EC,3
ART411,ART IN THE ELEMENTARY SCHOOL,3,EC,3
ASL121,AMERICAN SIGN LANGUAGE I,3,04192120,3
ASL122,AMERICAN SIGN LANGUAGE II,3,04192121,3
ASL221,INTERMEDIATE AMERICAN SIGN LANGUAGE I,3,Not Transferable,0
ASL223,DEAF CULTURE AND HISTORY,3,Not Transferable,0
AUT108,AUTOMOTIVE TECHNOLOGY WORK EXPERIENCE I,3,Not Transferable,0
AUT111,MINOR AUTOMOTIVE SERVICES,3,Not Transferable,0
