code,name,credits,equivalency,transfer_credit
ACAD095,ACADEMIC SKILLS SUPPORT I,3,Not Transferable,0
ACAD096,ACADEMIC SKILLS SUPPORT II,3,Not Transferable,0
ACAD097,ACADEMIC SKILLS SUPPORT III,2,Not Transferable,0
ACAD098,ACADEMIC SKILLS SUPPORT IV,1,Not Transferable,0
ACAD155,STUDENT SUCCESS,3,EC,3
ACC161,ACCOUNTING I,3,To Be Determined,3
ACC162,ACCOUNTING II,3,To Be Determined,3
ACCT121,FUNDAMENTALS OF ACCOUNTING,3,EC,3
ACCT161,PRINCIPLES OF ACCOUNTING I,3,33010273,4
ACCT161,PRINCIPLES OF ACCOUNTING I,3,EC,4
ACCT161,PRINCIPLES OF ACCOUNTING I,3,"EC""R11""",4
ACCT161,PRINCIPLES OF ACCOUNTING I,3,"EC""R11""",3
ACCT162,PRINCIPLES OF ACCOUNTING II,3,33010274,3
ACCT162,PRINCIPLES OF ACCOUNTING II,3,EC,3
ACCT162,PRINCIPLES OF ACCOUNTING II,3,"EC""R11""",3
ACCT261,INTERMEDIATE ACCOUNTING I,3,EC,3
ACCT262,INTERMEDIATE ACCOUNTING II,3,EC,3
ACCT263,COST ACCOUNTING,3,EC,3
ACCT264,ADVANCED ACCOUNTING,3,EC,3
ACCT265,AUDITING,3,EC,3
ACCT266,FEDERAL INCOME TAX ACCOUNTING,3,EC,3
ACCT268,FEDERAL CORPORATE TAXATION,3,PENDING,0
ACCT271,FORENSIC ACCOUNTING,3,Not Transferable,0
ACCT273,LEGAL ASPECTS OF FINANCIAL FRAUD,3,Not Transferable,0
ACCT275,FRAUD EXAMINATION,3,Not Transferable,0
ACCT277,DIGITAL FORENSIC ANALYSIS,3,Not Transferable,0
ACCT292,ACCOUNT FOR GOVERNMENT AND NONPROFIT ORGANIZATIONS,3,Not Transferable,0
ACCT390,ACCOUNTING INFORMATION SYSTEMS,3,Not Transferable,0
AHAC145,ANIMAL CONTROL OFFICERS TRAINING,3,11067EC,3
AHAH115,INTRODUCTION TO ALLIED HEALTH,1,Not Transferable,0
AHEC130,"EARLY CHILDHOOD NUTRITION, HEALTH AND SAFETY",3,EC,3
AHMT110,MEDICAL TERMINOLOGY,3,Not Transferable,0
