code,name,credits,equivalency,transfer_credit
AC101,FINANCIAL ACCOUNTING I,3,33010273,3
AC101,FINANCIAL ACCOUNTING I,3,TRT10QU,3
AC102,FINANCIAL ACCOUNTING II,3,TRT10QU,3
AC103,MANAGERIAL ACCOUNTING,3,33010275,3
AC103,MANAGERIAL ACCOUNTING,3,33010275,3
AC201,INTERMEDIATE ACCOUNTING I,3,TRT10QU,3
AC202,INTERMEDIATE ACCOUNTING II,3,EC,3
AC203,ACCOUNTING APPLICATIONS USING EXCEL,1,TRT10EC,1
AC205,MANAGERIAL ACCOUNTING,3,TRT10QU,3
AC210,ACCOUNTING APPLICATIONS IN EXCEL,1,TRT10EC,1
AC215,FEDERAL TAXATION,3,TRT10EC,3
AC220,ACCOUNTING SOFTWARE APPLICATIONS I,3,TRT10EC,3
AC221,ACCOUNTING SOFTWARE APPLICATIONS,3,EC,3
AC222,ACCOUNTING SOFTWARE APPLICATIONS II,2,EC,2
AC222,ACCOUNTING SOFTWARE APPLICATIONS II,2,Not Transferable,0
AC223,INCOME TAX PREPARATION,1,EC,1
AC223,INCOME TAX PREPARATION,1,Not Transferable,0
AC225,FEDERAL TAXATION - THEORY AND PRACTICE,4,TRT10TEC,4
AC225,FEDERAL TAXATION-THEORY AND PRACTICE,3,TRT10TEC,3
AC226,ACCOUNTING SOFTWARE APPLICATIONS I,3,TRT10EC,3
AC251,ACCOUNTING INTERNSHIP,3,TRT10EC,3
AC293,ACCOUNTING COOPERATIVE EDUCATION,3,EC,3
AC295,ACCOUNTING CAPSTONE,1,TRT10EC,1
AE101,APPRECIATION OF ART,3,TRT10HUM,3
AE103,ART HISTORY I,3,01082105,3
AE104,ART HISTORY II,3,01082106,3
AH101,INTRODUCTION TO ALLIED HEALTH,1,EC,1
AH105,HEALTH CARE SYSTEM IN THE U.S.,3,EC,3
AH201,HEALTH CARE SEMINAR,2,EC,2
AR101,DRAWING I,3,07081121,3
AR101,DRAWING I,3,TRT10HUM,3
AR102,DRAWING II,3,07081122,3
AR102,DRAWING II,3,TRT10HUM,3
AR108,TWO DIMENSIONAL DESIGN,3,TRT10TEC,3
AR109,THREE-DIMENSIONAL DESIGN,3,TRT10HUM,3
AR110,INTRODUCTION TO GRAPHIC DESIGN,3,TRT10HUM,3
AR110,INTRODUCTION TO GRAPHIC DESIGN,3,10971EC,3
AR111,ADVANCED GRAPHIC DESIGN,3,TRT10HUM,3
AR111,ADVANCED GRAPHIC DESIGN,3,10971EC,3
AR112,COLOR THEORY,3,TRT10TEC,3
AR113,PORTFOLIO PREPARATION,1,TRT10TEC,1
AR113,PORTFOLIO PREPARATION,2,TRT10TEC,2
AR120,INTRODUCTION TO PAINTING,3,TRT10HUM,3
AR121,INTRODUCTION TO PRINTMAKING,3,TRT10HUM,3
AR200,WATERCOLOR,3,TRT10HUM,3
AR209,FIGURE DRAWING,3,TRT10TEC,3
AR210,LAYOUT AND PUBLICATION DESIGN,3,TRT10TEC,3
AR211,ADVANCED DESIGN AND MOTION GRAPHICS,3,10971EC,3
ARB101,ELEMENTARY ARABIC I,3,TRT10HUM,3
ARB102,ELEMENTARY ARABIC II,3,TRT10HUM,3
ASL101,BASIC AMERICAN SIGN LANGUAGE I,3,04192120,3
ASL102,BASIC AMERICAN SIGN LANGUAGE II,3,04192121,3
ASL103,FINGERSPELLING,2,EC,2
ASL103,FINGERSPELLING,2,Not Transferable,0
ASL104,AMERICAN SIGN LANGUAGE I,3,04192NM,3
ASL104,AMERICAN SIGN LANGUAGE I,3,TRT10HUM,3
ASL105,AMERICAN DEAF CULTURE AND HISTORY,3,TRT10HUM,3
ASL108,AMERICAN SIGN LANGUAGE II,3,TRT10HUM,3
ASL109,AMERICAN SIGN LANGUAGE SYNTAX AND GRAMMAR,3,04192NM,3
