code,name,credits,equivalency,transfer_credit
AC101,FINANCIAL ACCOUNTING I,3,33010273,3
AC101,FINANCIAL ACCOUNTING I,3,"EC ""R11,RQ""",3
AC102,FINANCIAL ACCOUNTING II,3,EC,3
AC102,FINANCIAL ACCOUNTING II,3,"EC ""R11,RQ""",3
AC103,MANAGERIAL ACCOUNTING,3,33010275,3
AC103,MANAGERIAL ACCOUNTING,3,33010275,3
AC201,INTERMEDIATE ACCOUNTING I,3,EC,3
AC201,INTERMEDIATE ACCOUNTING I,3,Not Transferable,0
AC202,INTERMEDIATE ACCOUNTING II,3,EC,3
AC203,ACCOUNTING APPLICATIONS USING EXCEL,1,Not Transferable,0
AC205,MANAGERIAL ACCOUNTING,3,Not Transferable,0
AC210,ACCOUNTING APPLICATIONS IN EXCEL,1,Not Transferable,0
AC215,FEDERAL TAXATION,3,EC,3
AC220,ACCOUNTING SOFTWARE APPLICATIONS I,3,Not Transferable,0
AC221,ACCOUNTING SOFTWARE APPLICATIONS,3,Not Transferable,0
AC222,ACCOUNTING SOFTWARE APPLICATIONS II,2,Not Transferable,0
AC223,INCOME TAX PREPARATION,1,Not Transferable,0
AC225,FEDERAL TAXATION - THEORY AND PRACTICE,4,Not Transferable,0
AC225,FEDERAL TAXATION-THEORY AND PRACTICE,3,Not Transferable,0
AC226,ACCOUNTING SOFTWARE APPLICATIONS I,3,Not Transferable,0
AC251,ACCOUNTING INTERNSHIP,3,Not Transferable,0
AC293,ACCOUNTING COOPERATIVE EDUCATION,3,Not Transferable,0
AC295,ACCOUNTING CAPSTONE,1,Not Transferable,0
AE101,APPRECIATION OF ART,3,EC,3
AE103,ART HISTORY I,3,01082105,3
AE104,ART HISTORY II,3,01082106,3
AH101,INTRODUCTION TO ALLIED HEALTH,1,Not Transferable,0
AH105,HEALTH CARE SYSTEM IN THE U.S.,3,EC,3
AH201,HEALTH CARE SEMINAR,2,Not Transferable,0
AR101,DRAWING I,3,07081121,3
AR101,DRAWING I,3,EC,3
AR102,DRAWING II,3,07081122,3
AR102,DRAWING II,3,EC,3
