code,name,credits,equivalency,transfer_credit
ACCT101,FINANCIAL ACCOUNTING,4,Not Transferable,0
ACCT101,FINANCIAL ACCOUNTING,4,33010272,4
ACCT102,ACCOUNTING II,4,Not Transferable,0
ACCT103,ACCOUNTING FOR SMALL BUSINESS,4,Not Transferable,0
ACCT104,MANAGERIAL ACCOUNTING,4,Not Transferable,0
ACCT105,TAXES FOR SMALL BUSINESS,3,Not Transferable,0
ACCT203,INTERMEDIATE ACCOUNTING I,4,Not Transferable,0
ACCT203,INTERMEDIATE ACCOUNTING I,3,Not Transferable,0
ACCT204,INTERMEDIATE ACCOUNTING II,4,Not Transferable,0
ACCT204,INTERMEDIATE ACCOUNTING II,3,Not Transferable,0
ACCT210,INTERNATIONAL ACCOUNTING,3,Not Transferable,0
ACCT211,COST ACCOUNTING,3,Not Transferable,0
ACCT212,COST ANALYSIS AND BUDGETING,3,Not Transferable,0
ACCT221,TAX ACCOUNTING I,3,Not Transferable,0
ACCT222,AUDITING,3,Not Transferable,0
ACCT223,TAX ACCOUNTING II,3,Not Transferable,0
ACCT224,GOVERNMENT AND NOT-FOR-PROFIT ACCOUNTING,3,Not Transferable,0
ACCT225,ACCOUNTING SYSTEMS AND SOFTWARE,3,Not Transferable,0
ACCT229,PAYROLL ACCOUNTING,3,Not Transferable,0
ACCT250,ADVANCED BOOKEEPING PRACTICE,3,Not Transferable,0
ACCT290,ACCOUNTING COOP EDUCATION I,3,Not Transferable,0
ACCT291,ACCOUNTING COOP EDUCATION II,3,Not Transferable,0
ACCT300,ACCOUNTING CO-OP EDUCATION I,3,Not Transferable,0
ACCT301,ACCOUNTING CO-OP EDUCATION II,3,Not Transferable,0
ANTH101,INTRODUCTION TO CULTURAL ANTHROPOLOGY,3,01070EC,3
ANTH102,HUMAN ORIGINS,3,01070EC,3
ANTH110,INTRODUCTION TO NATIVE NORTH AMERICANS,3,01070230,3
ANTH120,INTRODUCTION TO ARCHAEOLOGY,3,01070EC,3
ANTH122,FIELD SCHOOL IN ARCHAEOLOGY,3,Not Transferable,0
ANTH150,ANTHROPOLOGY/HUMAN PERSPECTIVE: ANDES,3,Not Transferable,0
ANTH201,NORTH AMERICAN INDIANS,3,01070230,3
ANTH202,GLOBAL PATTERNS OF RACISM,3,EC,3
ARTC101,REFRIGERATION I,6,Not Transferable,0
ARTC102,AIR CONDITION SYSTEMS DESIGN,6,Not Transferable,0
ARTC201,REFRIGERATION II,6,Not Transferable,0
ARTC202,HEATING SYSTEMS DESIGN,6,Not Transferable,0
ARTC206,RESIDENTIAL HVAC CONTROLS AND INSTRUMENTATION,3,Not Transferable,0
ARTC207,COMMERICAL HVAC CONTROLS AND INSTRUMENTATION,4,Not Transferable,0
ARTH101,ART APPRECIATION,3,EC,3
ARTH110,ART FROM PRE-HISTORY TO THE GOTHIC PERIOD,3,01082105,3
ARTH110H,ART HISTORY: PREHISTORY TO GOTHIC HONORS,3,01082105,3
ARTH111,ART FROM THE RENAISSANCE TO THE MODERN ERA,3,01082106,3
ARTH112,HISTORY OF VISUAL DESIGN,3,Not Transferable,0
ARTH115,PHOTOGRAPHY: A CULTURAL HISTORY,3,Not Transferable,0
ARTH203,MODERN AND CONTEMPORARY ART,3,01082302,3
ARTH205,AMERICAN ART,3,01050EC,3
ARTH206,IMPRESSIONISM AND POST-IMPRESSION,3,01082396,3
ARTH208,ART BEYOND THE WESTERN WORLD,3,01082250,3
ARTH210,INTRO CRITICAL THEORY CONT ART,3,TRT14HSL,3
ARTH223,HISTORY OF PHOTOGRAPHY,3,Not Transferable,0
ARTH224,HISTORY OF PHOTOGRAPHY,3,01082382,3
ARTS104,VISUAL COMMUNICATION,3,Not Transferable,0
ARTS105,TWO-DIMENSIONAL DESIGN,3,Not Transferable,0
ARTS106,FOUNDATION OF GAME ENGINES,3,Not Transferable,0
ARTS108,THREE-DIMENSIONAL DESIGN,3,Not Transferable,0
ARTS110,BASIC DRAWING I,3,Not Transferable,0
ARTS110H,BASIC DRAWING I HONORS,3,Not Transferable,0
ARTS111,BASIC DRAWING II,3,Not Transferable,0
ARTS112,INTRODUCTION TO DIGITAL PHOTOGRAPHY,3,Not Transferable,0
ARTS113,AUDIO PRODUCTION,3,Not Transferable,0
ARTS121,WATERCOLOR I,3,Not Transferable,0
ARTS129,THREE DIMENSIONAL MODELING,3,Not Transferable,0
ARTS131,WATERCOLOR II,3,Not Transferable,0
ARTS132,COLOR THEORY,3,Not Transferable,0
ARTS205,DRAWING III,3,Not Transferable,0
ARTS207,ISSUES OF CONTEMPORARY ART: THEORY/PRACTICE 20TH C,3,Not Transferable,0
ARTS209,TWO DIMENSIONAL GAME DESIGN STUDIO,3,Not Transferable,0
ARTS210,ACRYLIC AND OIL PAINTING I,3,Not Transferable,0
ARTS211,ACRYLIC AND OIL PAINTING II,3,Not Transferable,0
ARTS212,STILL PHOTOGRAPHY I,3,Not Transferable,0
ARTS215,CERAMICS I,3,Not Transferable,0
ARTS216,CERAMICS II,3,Not Transferable,0
ARTS218,SCULPTURE I,3,Not Transferable,0
ARTS219,SCULPTURE II,3,Not Transferable,0
ARTS220,ADVANCED PHOTOGRAPHY,3,Not Transferable,0
ARTS221,STILL PHOTOGRAPHY II,3,Not Transferable,0
ARTS222,CERAMICS III,3,Not Transferable,0
ARTS223,ADVANCED GLAZING FOR THE STUDIO POTTER,3,Not Transferable,0
ARTS225,RAKU,3,Not Transferable,0
ARTS226,COLOR PHOTOGRAPHY,3,Not Transferable,0
ARTS227,ALTERNATIVE PHOTOGRAPHIC PROCESSES,3,Not Transferable,0
ARTS228,CONTEMPORARY LANDSCAPE PAINTING,3,Not Transferable,0
ARTS229,PRINTMAKING: MONOPRINTING AND RELIEF,3,Not Transferable,0
ARTS230,"MOLD MAKING, CASTING AND REPLICATION",3,Not Transferable,0
ARTS234,CERAMICS IV,3,Not Transferable,0
ARTS235,ACRYLIC AND OIL PAINTING III,3,Not Transferable,0
ARTS236,ACRYLIC AND OIL PAINTING IV,3,Not Transferable,0
ARTS237,PRINTMAKING: INTAGLIO AND RELIEF,3,Not Transferable,0
ARTS238,PRINTMAKING:LITHOGRAPHY AND SILK SCREENING,3,Not Transferable,0
ARTS239,ADVANCED PRINTMAKING,3,Not Transferable,0
ARTS242,FIGURE DRAWING I,3,Not Transferable,0
ARTS243,FIGURE DRAWING II,3,Not Transferable,0
ARTS244,CERAMIC HANDBUILDING,3,Not Transferable,0
ARTS246,VISUAL DESIGN I,3,Not Transferable,0
ARTS247,VISUAL DESIGN II,3,Not Transferable,0
ARTS248,DESIGNING MOTION GRAPHICS,3,Not Transferable,0
ARTS249,DIGITAL ARTMAKING,3,Not Transferable,0
ARTS250,PRINTMAKING:SILKSCREEN,3,Not Transferable,0
ARTS251,PRINTMAKING: LITHOGRAPHY,3,Not Transferable,0
ARTS252,PORTFOLIO DEVELOPMENT,2,Not Transferable,0
ARTS252,PORTFOLIO DEVELOPMENT,3,Not Transferable,0
ARTS253,INTRODUCTION TO CONTEMPORARY PRINTMAKING,3,Not Transferable,0
ARTS254,ART OF THE BOOK,3,Not Transferable,0
ARTS255,PORTFOLIO DEVELOPMENT GRAPHIC + INTERAVTIVE DESIGN,3,Not Transferable,0
ARTS259,GAME NARRATIVE AND CONCEPTS,3,Not Transferable,0
ARTS261,"LIGHT, OPTICS AND LIGHTING",3,Not Transferable,0
ARTS266,INTRO TO VIDEO PROD-AESTHETICS,3,Not Transferable,0
