code,name,credits,equivalency,transfer_credit
ACCT101,FINANCIAL ACCOUNTING,4,33010273,4
ACCT101,FINANCIAL ACCOUNTING,4,33010272,4
ACCT101,FINANCIAL ACCOUNTING,4,33010272,4
ACCT102,ACCOUNTING II,4,33010274,4
ACCT103,ACCOUNTING FOR SMALL BUSINESS,4,TRT37QU,4
ACCT104,MANAGERIAL ACCOUNTING,4,TRT37QU,4
ACCT105,TAXES FOR SMALL BUSINESS,3,TRT37EC,3
ACCT203,INTERMEDIATE ACCOUNTING I,4,TRT37QU,4
ACCT203,INTERMEDIATE ACCOUNTING I,3,TRT37QU,3
ACCT204,INTERMEDIATE ACCOUNTING II,4,TRT37QU,4
ACCT204,INTERMEDIATE ACCOUNTING II,3,TRT37QU,3
ACCT210,INTERNATIONAL ACCOUNTING,3,TRT37QU,3
ACCT211,COST ACCOUNTING,3,TRT37QU,3
ACCT212,COST ANALYSIS AND BUDGETING,3,TRT37QU,3
ACCT221,TAX ACCOUNTING I,3,TRT37QU,3
ACCT222,AUDITING,3,TRT37QU,3
ACCT223,TAX ACCOUNTING II,3,TRT37QU,3
ACCT224,GOVERNMENT AND NOT-FOR-PROFIT ACCOUNTING,3,TRT37QU,3
ACCT225,ACCOUNTING SYSTEMS AND SOFTWARE,3,TRT37EC,3
ACCT229,PAYROLL ACCOUNTING,3,TRT37EC,3
ACCT250,ADVANCED BOOKEEPING PRACTICE,3,TRT37TEC,3
ACCT290,ACCOUNTING COOP EDUCATION I,3,TRT37EC,3
ACCT291,ACCOUNTING COOP EDUCATION II,3,TRT37EC,3
ACCT300,ACCOUNTING CO-OP EDUCATION I,3,EC,3
ACCT301,ACCOUNTING CO-OP EDUCATION II,3,EC,3
ANTH101,INTRODUCTION TO CULTURAL ANTHROPOLOGY,3,01070EC,3
ANTH102,HUMAN ORIGINS,3,01070EC,3
ANTH110,INTRODUCTION TO NATIVE NORTH AMERICANS,3,TRT37DIV,3
ANTH110,INTRODUCTION TO NATIVE NORTH AMERICANS,3,01070230,3
ANTH120,INTRODUCTION TO ARCHAEOLOGY,3,01070EC,3
ANTH122,FIELD SCHOOL IN ARCHAEOLOGY,3,01070EC,3
ANTH150,ANTHROPOLOGY/HUMAN PERSPECTIVE: ANDES,3,TRT37DIV,3
ANTH201,NORTH AMERICAN INDIANS,3,01070230,3
ANTH202,GLOBAL PATTERNS OF RACISM,3,TRT37DIV,3
