code,name,credits,equivalency,transfer_credit
ACC110,PRINCIPLES OF FINANCIAL ACCOUNTING I,3,"EC""86,R11,R46""",3
ACC110,PRINCIPLES OF ACCOUNTING I,3,33010272,3
ACC111,PRINCIPLES OF FINANCIAL ACCOUNTING II,3,"EC ""R11,R46""",3
ACC111,PRINCIPLES OF FINANCIAL ACCOUNTING II,3,Not Transferable,0
ACC111,PRINCIPLES OF ACCOUNTING II,3,33010275,3
ACC112,PRIN OF FINANCIAL ACCOUNTING I,4,"EC""86,R11,R46""",4
ACC112,PRIN OF FINANCIAL ACCOUNTING I,4,"EC ""R11,R46""",4
ACC113,PRIN OF FINANCIAL ACCOUNTING I I,4,"EC ""R11,R46""",4
ACC114,MANAGERIAL ACCOUNTING,3,33010275,3
ACC114,MANAGERIAL ACCOUNTING,3,33010275,3
ACC115,MANAGERIAL ACCOUNTING/SPREADSHEETS,4,33010275,3
ACC115,MANAGERIAL ACCOUNTING/SPREADSHEETS,4,33010275,3
ACC116,COMPUTERIZED ACCOUNTING,3,Not Transferable,0
ACC210,INTERMEDIATE ACCOUNTING I,3,Not Transferable,0
ACC211,INTERMEDIATE ACCOUNTING II,3,Not Transferable,0
ACC213,COST ACCOUNTING,4,Not Transferable,0
AGR120,SOIL SCIENCE,3,11375266,3
AGR130,PRINCIPLES OF PLANT PROTECTION,3,Not Transferable,0
AGR140,AGRIBUSINESS MANAGEMENT,3,Not Transferable,0
AGR150,AGRIBUSINESS MARKETING,3,Not Transferable,0
AGR210,GREENHOUSE MANANGEMENT AND CROP PRODUCTION,3,Not Transferable,0
AGR220,NURSERY MANAGEMENT,3,Not Transferable,0
AGR230,VEGETABLE AND CROP PRODUCTION,3,Not Transferable,0
AHS101,INTRODUCTION TO APPLIED HEARING,1,Not Transferable,0
AHS105,ACOUSTICS AND PSYCHOACOUSTICS,3,Not Transferable,0
AHS110,ANATOMY ,3,Not Transferable,0
AHS115,PROFESSIONAL PATIENT COUNSELING,3,Not Transferable,0
AHS120,COMMUNICATION AND COMMUNICATION DISORDERS,3,Not Transferable,0
AHS125,HEARING ASSESSMENT I,4,Not Transferable,0
AHS130,HEARING ASSESSMENT II,4,Not Transferable,0
AHS135,HEARING INSTRUMENT TECHNOLOGY I,4,Not Transferable,0
AHS140,HEARING INSTRUMENT TECHNOLOGY II,4,Not Transferable,0
AHS145,AUDITORY REHABILITATION,3,Not Transferable,0
AHS150,LEGAL AND ETHICAL RESPONSIBILITIES,2,Not Transferable,0
AHS155,CLINICAL PRACTICUM AND EXTERNSHIP,7,Not Transferable,0
ALT110,ENERGY AUDITING FOR RESIDENTIAL BUILDINGS,3,Not Transferable,0
ALT111,HVAC FOR RESIDENTIAL BUILDINGS LABORATORY,1,Not Transferable,0
ALT113,ALTERNATIVE ENERGY SOURCES,3,Not Transferable,0
ALT115,SOLAR PHOTOVOLTAIC SYSTEMS I,3,Not Transferable,0
ALT116,SOLAR PHOTOVOLTAIC SYSTEMS I LAB,1,Not Transferable,0
ALT141,ENERGY INVESTMENT ANALYSIS,3,Not Transferable,0
ALT215,PV SYSTEMS II - CONSTRUCTION AND TROUBLESHOOTING,3,Not Transferable,0
ALT215,SOLAR PHOTOVOLTAIC SYSTEMS II,3,Not Transferable,0
ALT216,SOLAR PHOTOVOLTAIC SYSTEMS II LAB,1,Not Transferable,0
ALT222,ENERGY STORAGE AND MICROGRIDS,3,Not Transferable,0
ANT101,INTRODUCTION TO PHYSICAL ANTHROPOLOGY,3,01070EC,3
ANT101,INTRODUCTION TO PHYSICAL ANTHROPOLOGY,3,01070294,3
ANT102,INTRODUCTION TO CULTURAL ANTHROPOLOGY,3,01070EC,3
ANT103,BIOLOGICAL ANTHROPOLOGY,3,01070294,3
ANT109,INTRO TO ARCHAEOLOGY,3,To Be Determined,0
ANT110,FIELD METHODS IN ARCHAEOLOGY,2,To Be Determined,0
ARA101,ELEMENTARY ARABIC I,3,EC,3
ARA102,ELEMENTARY ARABIC II,3,Not Transferable,0
ART101,INTRODUCTION TO ART,3,EC,3
ART110,DESIGN I,3,To Be Determined,0
ART112,DESIGN II,3,To Be Determined,0
ART112,DESIGN II,3,Not Transferable,0
ART120,DRAWING I,3,07081121,3
ART120,DRAWING I,3,EC,3
ART121,DRAWING II,3,07081122,3
ART121,DRAWING II,3,EC,3
ART122,FIGURE DRAWING,3,07081223,3
ART122,FIGURE DRAWING,3,EC,3
