code,name,credits,equivalency,transfer_credit
ACC110,PRINCIPLES OF FINANCIAL ACCOUNTING I,3,EC,3
ACC110,PRINCIPLES OF ACCOUNTING I,3,10775207,3
ACC110,PRINCIPLES OF ACCOUNTING I,3,10501207,3
ACC111,PRINCIPLES OF FINANCIAL ACCOUNTING II,3,EC,3
ACC111,PRINCIPLES OF ACCOUNTING II,3,EC,3
ACC112,PRIN OF FINANCIAL ACCOUNTING I,4,TRT10QU,4
ACC113,PRIN OF FINANCIAL ACCOUNTING I I,4,TRT10QU,4
ACC114,MANAGERIAL ACCOUNTING,3,33010275,3
ACC114,MANAGERIAL ACCOUNTING,3,33010275,3
ACC115,MANAGERIAL ACCOUNTING/SPREADSHEETS,4,TRT10QU,4
ACC116,COMPUTERIZED ACCOUNTING,3,TRT10EC,3
ACC210,INTERMEDIATE ACCOUNTING I,3,TRT10QU,3
ACC211,INTERMEDIATE ACCOUNTING II,3,EC,3
ACC213,COST ACCOUNTING,4,TRT10QU,4
AGR120,SOIL SCIENCE,3,11375266,3
AGR130,PRINCIPLES OF PLANT PROTECTION,3,TRT10SCI,3
AGR140,AGRIBUSINESS MANAGEMENT,3,TRT10EC,3
AGR150,AGRIBUSINESS MARKETING,3,TRT10TEC,3
AGR210,GREENHOUSE MANANGEMENT AND CROP PRODUCTION,3,TRT10TEC,3
AGR220,NURSERY MANAGEMENT,3,TRT10TEC,3
AGR230,VEGETABLE AND CROP PRODUCTION,3,TRT10SCI,3
AHS101,INTRODUCTION TO APPLIED HEARING,1,EC,1
AHS105,ACOUSTICS AND PSYCHOACOUSTICS,3,EC,3
AHS110,ANATOMY ,3,EC,3
AHS115,PROFESSIONAL PATIENT COUNSELING,3,EC,3
AHS120,COMMUNICATION AND COMMUNICATION DISORDERS,3,EC,3
AHS125,HEARING ASSESSMENT I,4,EC,4
AHS130,HEARING ASSESSMENT II,4,EC,4
AHS135,HEARING INSTRUMENT TECHNOLOGY I,4,EC,4
AHS140,HEARING INSTRUMENT TECHNOLOGY II,4,EC,4
AHS145,AUDITORY REHABILITATION,3,EC,3
AHS150,LEGAL AND ETHICAL RESPONSIBILITIES,2,EC,2
AHS155,CLINICAL PRACTICUM AND EXTERNSHIP,7,EC,7
ALT110,ENERGY AUDITING FOR RESIDENTIAL BUILDINGS,3,TRT10TEC,3
ALT111,HVAC FOR RESIDENTIAL BUILDINGS LABORATORY,1,TRT10TEC,1
ALT113,ALTERNATIVE ENERGY SOURCES,3,TRT10TEC,3
