code,name,credits,equivalency,transfer_credit
AB101,ELEMENTARY ARABIC I,3,EC,3
AB102,ELEMENTARY ARABIC II,3,EC,3
AC101,ACCOUNTING CONCEPTS,3,EC,3
AC103,ACCOUNTING I,4,EC,4
AC103,ACCOUNTING I,4,"EC ""R11""",4
AC104,ACCOUNTING II,4,EC,4
AC104,ACCOUNTING II,4,"EC ""R11""",4
AC115,CONSTRUCTION ACCOUNTING,3,Not Transferable,0
AC201,INTERMEDIATE ACCOUNTING I,4,EC,4
AC202,INTERMEDIATE ACCOUNTING II,4,EC,4
AC207,ACCOUNTING INFORMATION SYSTEMS,3,Not Transferable,0
AC211,FUNDAMENTALS OF TAX PREPARATION,3,EC,3
AC221,MANAGERIAL ACCOUNTING,3,33010275,3
AC221,MANAGERIAL ACCOUNTING,3,33010275,3
AC222,COST ACCOUNTING II,3,EC,4
AC227,FEDERAL INCOME TAX ACCOUNTING,3,EC,3
AC228,AUDITING,3,EC,3
AC229,AUTOMATED ACCOUNTING APPLICATIONS,3,EC,3
AC231,FEDERAL INCOME TAX,3,EC,3
AC232,FEDERAL TAXATION: BUSINESS,3,EC,3
AF101,COMMERCIAL PILOT I,2,EC,2
AF102,FLIGHT I,3,EC,3
AF103,COMMERCIAL PILOT II,3,EC,3
AF104,FLIGHT II,4,EC,4
AF105,COMMERCIAL PILOT III,1,EC,1
AF106,FLIGHT III,3,EC,3
AF107,COMMERCIAL PILOT IV,3,EC,3
AF108,FLIGHT IV,2,EC,2
AG101,FARM MACHINERY I,2,EC,2
AG102,EQUIPMENT OPERATIONS AND MANAGEMENT,2,EC,2
AG103,WELDING,2,EC,2
AG104,GRAIN CROP PRODUCTION,3,EC,3
AG105,INTRODUCTION TO AGRICULTURAL SCIENCE,3,Not Transferable,0
AG106,PLANT SCIENCE,4,11776242,3
AG107,PLANT PROPAGATION,3,11776310,3
AG108,HERBACEOUS PLANTS,3,11550235,3
AG114,AGRICULTURE INTERNSHIP,1,EC,1
AG121,INTRODUCTION TO EQUINE MANAGEMENT,1,EC,1
AG201,AGRICULTURAL MARKETING,3,11373231,3
AG202,AGRICULTURAL LEGISLATION AND REGULATION,3,EC,3
AG203,FRUIT PRODUCTION,3,EC,3
AG204,FARM MANAGEMENT,3,EC,3
AG206,VEGETABLE PRODUCTION,3,EC,3
AG207,AGRICULTURAL PEST CONTROL,4,11370350,4
AG209,INTRODUCTION TO SOIL SCIENCE,4,11776EC,4
AH101,COMMERCIAL PILOT I,2,EC,2
AH102,FLIGHT I,3,EC,3
AH103,COMMERCIAL PILOT II,3,EC,3
AH104,FLIGHT II,4,EC,4
AH105,COMMERCIAL PILOT III,1,EC,1
AH106,FLIGHT III,3,EC,3
AH107,COMMERCIAL PILOT IV,3,EC,3
AH108,FLIGHT IV,2,EC,2
AH110,TURBINE TRANSITION,2,EC,2
AM101,GENERAL AVIATION MAINTENANCE I,12,EC,1
AM102,GENERAL AVIATION MAINTENANCE II,6,EC,6
AM103,POWER PLANT MAINTENANCE I,12,EC,1
AM104,POWER PLANT MAINTENANCE II,12,EC,1
AM105,AIRFRAME MAINTENANCE I,12,EC,1
AM106,AIRFRAME MAINTENANCE II,12,EC,1
AN101,INTRO TO ANTHROPOLOGY,3,EC,3
AN102,CULTURAL ANTHROPOLOGY,3,01070EC,3
AN103,CULTURAL DIVERSITY IN THE U.S.,3,01070EC,3
AQ101,INTRODUCTION TO AQUACULTURE,4,EC,4
AQ102,AQUACULTURE PRODUCTION/SYSTEMS ENGINEERING,4,EC,4
AQ103,AQUACULTURE BIOLOGY PATHOLOGY,4,EC,4
AQ104,FINANCIAL MANAGEMENT,1,EC,1
AQ110,AQUACULTURE INTERNSHIP,1,EC,1
AR101,ART APPRECIATION,3,EC,3
AR102,HISTORY OF THE ARTS I,3,EC,3
AR103,HISTORY OF THE ARTS II,3,EC,3
AR103,INTRODUCTION TO ART THERAPY AND METHODS,3,EC,3
AR104,INTRODUCTION TO ART THERAPY IN PRACTICE,3,EC,3
AR105,SURVEY OF WORLD ART,3,01082105,3
AR106,INTRO TO ART EDUCATION,3,EC,3
AR107,ART HISTORY I,3,01082105,3
AR108,ART HISTORY II,3,01082106,3
AR110,FUNDAMENTALS OF DRAWING,3,07081121,3
AR110,FUNDAMENTALS OF DRAWING,3,EC,3
AR111,INTRO TO PAINTING,3,EC,3
