code,name,credits,equivalency,transfer_credit
AIB101,PRINCIPLES OF BANKING,3,EC,3
AIB104,CONSUMER LENDING,3,EC,3
AIB105,INTRODUCTION TO COMMERCIAL LENDING,2,EC,2
AIB106,COMMERCIAL LENDING,3,EC,3
AIB201,SUPERVISION,3,EC,3
AIB204,MONEY AND BANKING,3,EC,3
AIB205,TRUST BUSINESS,3,EC,3
AIB210,BANK MANAGEMENT,3,EC,3
AIB211,BANK MANAGEMENT II,3,EC,3
AIB220,ANALYZING FINANCIAL STATEMENTS I,4,EC,4
AIB221,ANALYZING FINANCIAL STATEMENTS II,3,EC,3
ALH101,MEDICAL TERMINOLOGY,2,TRT10TEC,2
ALH102,MEDICAL TERMINOLOGY,3,10832EC,3
ALH102,MEDICAL TERMINOLOGY,3,TRT10EC,3
ALH102,MEDICAL TERMINOLOGY,3,TRT10TEC,3
ALH104,PATIENT CARE,1,TRT10TEC,1
ALH105,BASIC PHYSICAL EXAM,1,TRT10TEC,1
ALH107,CROSS SECTIONAL ANATOMY,2,TRT10TEC,2
ALH110,BASIC MEDICAL TERMINOLOGY,1,TRT10TEC,1
ALH111,CONTEMPORARY HEALTH ISSUES,3,TRT10TEC,3
ALH112,FUNDAMENTALS OF HUMAN ANATOMY,1,TRT10TEC,1
ALH115,ECG/EKG,4,TRT10TEC,4
ALH119,PHLEBOTOMY,3,TRT10SCI,3
ALH123,MEDICAL ASSISTANT PROCEDURES,2,TRT10TEC,2
ALH125,MEDICAL ASSISTANT PROCEDURES,3,TRT10TEC,3
ALH130,ELEMENTS OF HEALTHCARE CAREERS,3,TRT10EC,3
ALH140,BIOMEDICAL ETHICS,3,TRT10SS,3
ALH201,HUMAN SEXUALITY,3,EC,3
ALH221,PHARMACOLOGY,3,EC,3
APT101,FLIGHT THEORY I: GROUND,3,EC,3
APT102,FLIGHT I: PRIVATE PILOT,3,EC,3
ART101,ART APPRECIATION I,3,TRT10HUM,3
ART102,ART APPRECIATION II,3,TRT10HUM,3
ART103,BASIC DESIGN,3,07081101,3
ART103,BASIC DESIGN,3,TRT10HUM,3
ART104,LETTERING/TYPOGRAPHY,3,EC,3
ART105,DRAWING I,3,07081121,3
ART105,DRAWING I,3,TRT10HUM,3
ART106,INTRODUCTION TO GRAPHIC ARTS,3,TRT10HUM,3
ART107,BASIC SCULPTURE,3,07081102,3
ART108,DRAWING AND PAINTING I,3,TRT10HUM,3
ART109,JEWELRY,3,EC,3
ART110,CERAMICS I,3,07081211,3
ART110,CERAMICS I,3,TRT10HUM,3
ART111,CERAMICS II,3,07081212,3
ART111,CERAMICS II,3,TRT10HUM,3
ART112,INTRODUCTION TO PHOTOGRAPHY,3,07081261,3
ART112,INTRODUCTION TO PHOTOGRAPHY,3,TRT10HUM,3
ART113,HUMANITY THROUGH THE ARTS,3,EC,3
ART114,PAINTING I,3,07081251,3
ART114,PAINTING I,3,TRT10HUM,3
ART115,COMPUTER GRAPHIC ARTS,3,EC,3
ART116,COLOR THEORY,3,07081228,3
ART116,COLOR THEORY,3,TRT10HUM,3
ART117,WATERCOLOR I,3,EC,3
ART119,THE PHOTOGRAPHIC VISION,3,EC,3
ART121,HISTORY OF PHOTOGRAPHY,3,TRT10HUM,3
ART131,INTRODUCTION TO DIGITAL PHOTOGRAPHY,3,07081368,3
ART131,INTRODUCTION TO DIGITAL PHOTOGRAPHY,3,TRT10HUM,3
ART141,INTRO TO ADOBE PHOTOSHOP,3,TRT10TEC,3
ART170,TOPICS IN ART,3,EC,3
ART180,INTRODUCTION TO FASHION DESIGN,3,EC,3
ART201,ART HISTORY I,3,01082105,3
ART202,ART HISTORY II,3,01082106,3
ART203,TEACHING ARTS AND CRAFTS: SPEC IND,3,EC,3
ART204,ART HISTORY I: TRAVEL STUDY,3,EC,3
ART205,ART HISTORY II: TRAVEL STUDY,3,EC,3
ART206,LAYOUT AND DESIGN I,3,TRT10HUM,3
ART207,ADVANCED SCULPTURE,3,07081281,3
ART208,DRAWING AND PAINTING II,3,TRT10HUM,3
ART209,JEWELRY II,3,EC,3
ART210,DESKTOP PUBLISHING/PAGEMAKER,3,EC,3
ART211,DESKTOP PUBLISHING/QUARK EXPRESS,3,EC,3
ART212,INTERMEDIATE PRINT PHOTOGRAPHY,3,07081262,3
ART215,COMPUTER GRAPHIC ART II,3,EC,3
ART216,LAYOUT AND DESIGN II,3,TRT10HUM,3
ART217,WATERCOLOR II,3,EC,3
ART218,THREE DIMENSIONAL DESIGN,3,07081102,3
ART218,THREE DIMENSIONAL DESIGN,3,TRT10HUM,3
ART231,INTERMEDIATE DIGITAL PHOTOGRAPHY,3,TRT10HUM,3
ART250,PORTFOLIO REVIEW AND SEMINAR,2,TRT10EC,2
ASL101,AMERICAN SIGN LANGUAGE I,3,TRT10HUM,3
ASL102,AMERICAN SIGN LANGUAGE II,3,TRT10HUM,3
AUT101,AUTO SERVICE FUNDAMENTALS,2,TRT10TEC,2
AUT103,FRONT END SUSPENSION,3,TRT10TEC,3
AUT105,BRAKES AND HYDRAULIC CONTROLS,3,TRT10TEC,3
AUT106,AUTOMOTIVE ELECTRICAL SYSTEMS,4,EC,4
AUT107,AUTOMOTIVE ELECTRICAL SYSTEMS,5,TRT10TEC,5
AUT109,ENGINE REPAIR,5,EC,5
AUT110,ENGINE REPAIR,4,TRT10TEC,4
AUT111,"HEATING, VENTILATION AND AIR CONDITIONING",3,TRT10TEC,3
AUT121,AUTOMATIC TRANSMISSIONS I,2,TRT10TEC,2
AUT123,AUTOMOTIVE ELECTRONICS,4,TRT10TEC,4
AUT131,FUEL AND EMISSION SYSTEMS,3,TRT10TEC,3
AUT133,AUTOMATIC TRANSMISSIONS II,2,EC,2
AUT134,AUTOMATIC TRANSMISSIONS II,3,TRT10TEC,3
AUT135,MANUAL TRANSMISSIONS,3,TRT10TEC,3
AUT135,MANUAL TRANSMISSIONS,3,TRT10TEC,3
AUT139,AUTOMATIC TRANSMISSIONS SYSTEMS,3,Not Transferable,0
BIO101,GENERAL BIOLOGY I,4,10832BIO,4
BIO101,GENERAL BIOLOGY I,4,"01119EC ""R22""",4
BIO102,GENERAL BIOLOGY II,4,10832BIO,4
BIO102,GENERAL BIOLOGY II,4,"01119EC ""R22""",4
BIO103,ENVIRONMENTAL SCIENCE: ECOSYSTEMS AND MAN,4,TRT10SCI,4
BIO104,ENVIRONMENTAL SCIENCE: POLLUTION AND SOLUTIONS,4,TRT10SCI,4
BIO105,ANATOMY AND PHYSIOLOGY I,4,01119NM,4
BIO105,ANATOMY AND PHYSIOLOGY I,4,"01119EC ""R21""",4
BIO105,ANATOMY AND PHYSIOLOGY I,4,10832BIO,4
BIO106,ANATOMY AND PHYSIOLOGY II,4,01119NM,4
BIO106,ANATOMY AND PHYSIOLOGY II,4,"01119EC ""R21""",4
BIO106,ANATOMY AND PHYSIOLOGY II,4,10832BIO,4
BIO107,HUMAN BIOLOGY,4,01119EC,4
BIO111,CONTEMPORARY CONCEPTS IN BIOLOGY,4,01119103,4
BIO112,INTRODUCTION TO MARINE BIOLOGY,4,11628NM,4
BIO113,ECONOMIC BOTANY: PLANTS AND SOCIETY,4,11776205,4
BIO114,ANIMAL SCIENCE,3,11067142,3
BIO115,INTRODUCTION TO EQUINE SCIENCE,4,11067384,4
BIO115,INTRO TO EQUINE SCIENCE,4,TRT10SCI,4
BIO115,INTRODUCTION TO EQUINE SCIENCE,4,11067384,4
BIO116,ANIMAL SCIENCE,4,TRT10SCI,4
BIO120,INTRO TO EXPERIMENTATION,1,TRT10EC,1
BIO140,SCIENCE OF NUTRITION,4,TRT10SCI,4
BIO170,TOPICS IN BIOLOGY,3,EC,3
BIO171,TOPICS IN BIOLOGY,4,EC,4
BIO207,BIOLOGY OF CANCER,3,EC,3
BIO209,ECOLOGY: PRINCIPLES AND PROCESSES,4,01119330,4
BIO212,WETLANDS FIELD ECOLOGY,4,11704EC,4
BIO212,WETLANDS FIELD ECOLOGY,4,11216EC,4
BIO215,MICROBIOLOGY,4,01119132,4
BIO216,EQUINE CAPSTONE PRACTICUM,3,TRT10TEC,3
BIO216,EQUINE CAPSTONE PRACTICUM,3,TRT10EC,3
BIO221,CELL AND MOLECULAR BIOLOGY,4,01146270,4
BUS101,INTRODUCTION TO BUSINESS,3,TRT10EC,3
BUS102,ACCOUNTING I,4,TRT10QU,4
BUS103,ACCOUNTING II,4,TRT10QU,4
BUS104,COMPUTERIZED ACCOUNTING,3,EC,3
BUS104,PERSONAL AND PROFESSIONAL BRANDING,1,TRT10EC,1
BUS105,SECRETARIAL ACCOUNTING,3,EC,3
BUS106,MANAGERIAL ACCOUNTING,3,33010275,3
BUS106,MANAGERIAL ACCOUNTING,3,33010275,3
BUS107,BUSINESS LAW I,3,33011204,3
BUS107,BUSINESS LAW I,3,33011204,3
BUS107,BUSINESS LAW I,3,37575220,3
BUS108,BUSINESS LAW II,3,TRT10EC,3
BUS110,PRINCIPLES OF FINANCE,3,EC,3
BUS111,ACCOUNTING: SMALL BUSINESS,3,EC,3
BUS113,BUSINESS MACHINES,2,EC,2
BUS115,SMALL BUSINESS MANAGEMENT,3,TRT10EC,3
