code,name,credits,equivalency,transfer_credit
AIB101,PRINCIPLES OF BANKING,3,Not Transferable,0
AIB104,CONSUMER LENDING,3,Not Transferable,0
AIB105,INTRODUCTION TO COMMERCIAL LENDING,2,Not Transferable,0
AIB106,COMMERCIAL LENDING,3,Not Transferable,0
AIB201,SUPERVISION,3,Not Transferable,0
AIB204,MONEY AND BANKING,3,EC,3
AIB205,TRUST BUSINESS,3,Not Transferable,0
AIB210,BANK MANAGEMENT,3,Not Transferable,0
AIB211,BANK MANAGEMENT II,3,Not Transferable,0
AIB220,ANALYZING FINANCIAL STATEMENTS I,4,Not Transferable,0
AIB221,ANALYZING FINANCIAL STATEMENTS II,3,Not Transferable,0
ALH101,MEDICAL TERMINOLOGY,2,Not Transferable,0
ALH102,MEDICAL TERMINOLOGY,3,Not Transferable,0
ALH104,PATIENT CARE,1,Not Transferable,0
ALH105,BASIC PHYSICAL EXAM,1,Not Transferable,0
ALH107,CROSS SECTIONAL ANATOMY,2,Not Transferable,0
ALH110,BASIC MEDICAL TERMINOLOGY,1,Not Transferable,0
ALH111,CONTEMPORARY HEALTH ISSUES,3,Not Transferable,0
ALH112,FUNDAMENTALS OF HUMAN ANATOMY,1,Not Transferable,0
ALH115,ECG/EKG,4,Not Transferable,0
ALH119,PHLEBOTOMY,3,Not Transferable,0
ALH123,MEDICAL ASSISTANT PROCEDURES,2,Not Transferable,0
ALH125,MEDICAL ASSISTANT PROCEDURES,3,Not Transferable,0
ALH130,ELEMENTS OF HEALTHCARE CAREERS,3,Not Transferable,0
ALH140,BIOMEDICAL ETHICS,3,EC,3
ALH201,HUMAN SEXUALITY,3,Not Transferable,0
ALH221,PHARMACOLOGY,3,Not Transferable,0
APT101,FLIGHT THEORY I: GROUND,3,Not Transferable,0
APT102,FLIGHT I: PRIVATE PILOT,3,Not Transferable,0
ART101,ART APPRECIATION I,3,EC,3
ART102,ART APPRECIATION II,3,EC,3
ART103,BASIC DESIGN,3,Not Transferable,0
ART104,LETTERING/TYPOGRAPHY,3,Not Transferable,0
ART105,DRAWING I,3,Not Transferable,0
ART106,INTRODUCTION TO GRAPHIC ARTS,3,Not Transferable,0
ART107,BASIC SCULPTURE,3,Not Transferable,0
ART108,DRAWING AND PAINTING I,3,Not Transferable,0
ART109,JEWELRY,3,Not Transferable,0
ART110,CERAMICS I,3,Not Transferable,0
ART111,CERAMICS II,3,Not Transferable,0
ART112,INTRODUCTION TO PHOTOGRAPHY,3,Not Transferable,0
ART113,HUMANITY THROUGH THE ARTS,3,EC,3
ART114,PAINTING I,3,Not Transferable,0
ART115,COMPUTER GRAPHIC ARTS,3,Not Transferable,0
ART116,COLOR THEORY,3,Not Transferable,0
ART117,WATERCOLOR I,3,Not Transferable,0
ART119,THE PHOTOGRAPHIC VISION,3,Not Transferable,0
ART121,HISTORY OF PHOTOGRAPHY,3,Not Transferable,0
ART131,INTRODUCTION TO DIGITAL PHOTOGRAPHY,3,Not Transferable,0
ART141,INTRO TO ADOBE PHOTOSHOP,3,Not Transferable,0
ART170,TOPICS IN ART,3,Not Transferable,0
ART180,INTRODUCTION TO FASHION DESIGN,3,Not Transferable,0
ART201,ART HISTORY I,3,01082105,3
ART202,ART HISTORY II,3,01082106,3
ART203,TEACHING ARTS AND CRAFTS: SPEC IND,3,Not Transferable,0
ART204,ART HISTORY I: TRAVEL STUDY,3,To Be Determined,0
ART205,ART HISTORY II: TRAVEL STUDY,3,To Be Determined,0
ART206,LAYOUT AND DESIGN I,3,Not Transferable,0
ART207,ADVANCED SCULPTURE,3,Not Transferable,0
ART208,DRAWING AND PAINTING II,3,Not Transferable,0
ART209,JEWELRY II,3,Not Transferable,0
ART210,DESKTOP PUBLISHING/PAGEMAKER,3,Not Transferable,0
ART211,DESKTOP PUBLISHING/QUARK EXPRESS,3,Not Transferable,0
ART212,INTERMEDIATE PRINT PHOTOGRAPHY,3,Not Transferable,0
ART215,COMPUTER GRAPHIC ART II,3,Not Transferable,0
ART216,LAYOUT AND DESIGN II,3,Not Transferable,0
ART217,WATERCOLOR II,3,Not Transferable,0
ART218,THREE DIMENSIONAL DESIGN,3,Not Transferable,0
ART231,INTERMEDIATE DIGITAL PHOTOGRAPHY,3,Not Transferable,0
ART250,PORTFOLIO REVIEW AND SEMINAR,2,Not Transferable,0
ASL101,AMERICAN SIGN LANGUAGE I,3,Not Transferable,0
ASL102,AMERICAN SIGN LANGUAGE II,3,Not Transferable,0
AUT101,AUTO SERVICE FUNDAMENTALS,2,Not Transferable,0
AUT103,FRONT END SUSPENSION,3,Not Transferable,0
AUT105,BRAKES AND HYDRAULIC CONTROLS,3,Not Transferable,0
AUT106,AUTOMOTIVE ELECTRICAL SYSTEMS,4,Not Transferable,0
AUT107,AUTOMOTIVE ELECTRICAL SYSTEMS,5,Not Transferable,0
AUT109,ENGINE REPAIR,5,Not Transferable,0
AUT110,ENGINE REPAIR,4,Not Transferable,0
AUT111,"HEATING, VENTILATION AND AIR CONDITIONING",3,Not Transferable,0
AUT121,AUTOMATIC TRANSMISSIONS I,2,Not Transferable,0
AUT123,AUTOMOTIVE ELECTRONICS,4,Not Transferable,0
AUT131,FUEL AND EMISSION SYSTEMS,3,Not Transferable,0
AUT133,AUTOMATIC TRANSMISSIONS II,2,Not Transferable,0
AUT134,AUTOMATIC TRANSMISSIONS II,3,Not Transferable,0
AUT135,MANUAL TRANSMISSIONS,3,Not Transferable,0
AUT135,MANUAL TRANSMISSIONS,3,Not Transferable,0
AUT139,AUTOMATIC TRANSMISSIONS SYSTEMS,3,Not Transferable,0
BIO101,GENERAL BIOLOGY I,4,"01119EC ""R2""",4
BIO101,GENERAL BIOLOGY I,4,01119EC,4
BIO102,GENERAL BIOLOGY II,4,"01119EC ""R2""",4
BIO102,GENERAL BIOLOGY II,4,01119EC,4
