code,name,credits,equivalency,transfer_credit
ACC100,ELEMENTARY ACCOUNTING,3,EC,3
ACC121,PRINCIPLES OF ACCOUNTING I,4,33010273,4
ACC121,PRINCIPLES OF ACCOUNTING I,4,33010272,4
ACC121,PRINCIPLES OF ACCOUNTING I,4,33010272,4
ACC122,PRINCIPLES OF ACCOUNTING II,4,33010274,4
ACC122,PRINCIPLES OF ACCOUNTING II,4,TRT10QU,4
ACC131,PRINCIPLES OF ACCOUNTING I,3,10775207,3
ACC131,PRINCIPLES OF ACCOUNTING I,3,10501207,3
ACC132,PRINCIPLES OF ACCOUNTING II,3,TRT10EC,3
ACC211,INTERMEDIATE ACCOUNTING I,3,TRT10QU,3
ACC212,INTERMEDIATE ACCOUNTING II,3,TRT10QU,3
ACC222,INCOME TAX ACCOUNTING,3,TRT10QU,3
ACC250,COMPUTERIZED ACCOUNTING WITH QUICKBOOKS,3,TRT10EC,3
AHT101,MEDICAL OFFICE PROCEDURES I,3,EC,3
AHT102,MEDICAL OFFICE PROCEDURES II,3,EC,3
AHT103,MEDICAL TRANSCRIPTION,3,EC,3
AHT202,CLINICAL OFFICE PROCEDURES,3,EC,3
ART101,ART APPRECIATION,3,07081101,3
ART101,ART APPRECIATION,3,TRT10HUM,3
ART102,GLASS ART,3,TRT10HUM,3
ART104,DRAWING,3,07081121,3
ART104,DRAWING,3,TRT10HUM,3
ART105,PAINTING,3,TRT10HUM,3
ART105,PAINTING,3,TRT10HUM,3
ART108,GLASS ART II,3,EC,3
ART110,INTRODUCTION TO STUDIO ART,3,07081102,3
ART112,INTRO TO FLAME WORKING,3,EC,3
ART113,STUDIO GLASS ART I,3,EC,3
ART114,STUDIO GLASS ART II,3,EC,3
ART115,TWO DIMENSIONAL DESIGN,3,07081101,3
ART115,TWO DIMENSIONAL DESIGN,3,TRT10HUM,3
ART116,THREE DIMENSIONAL DESIGN,3,07081102,3
ART116,THREE DIMENSIONAL DESIGN,3,TRT10HUM,3
ART117,INTERMEDIATE FLAMEWORKING,3,EC,3
ART119,COLOR THEORY,3,TRT10HUM,3
ART120,STUDIO GLASS ART I - COLD CONSTRUCTION,3,EC,3
