code,name,credits,equivalency,transfer_credit
ACC100,ELEMENTARY ACCOUNTING,3,Not Transferable,0
ACC121,PRINCIPLES OF ACCOUNTING I,4,Not Transferable,0
ACC122,PRINCIPLES OF ACCOUNTING II,4,Not Transferable,0
ACC131,PRINCIPLES OF ACCOUNTING I,3,Not Transferable,0
ACC132,PRINCIPLES OF ACCOUNTING II,3,Not Transferable,0
ACC211,INTERMEDIATE ACCOUNTING I,3,Not Transferable,0
ACC212,INTERMEDIATE ACCOUNTING II,3,Not Transferable,0
ACC222,INCOME TAX ACCOUNTING,3,Not Transferable,0
ACC250,COMPUTERIZED ACCOUNTING WITH QUICKBOOKS,3,Not Transferable,0
AHT101,MEDICAL OFFICE PROCEDURES I,3,Not Transferable,0
AHT102,MEDICAL OFFICE PROCEDURES II,3,Not Transferable,0
AHT103,MEDICAL TRANSCRIPTION,3,Not Transferable,0
AHT202,CLINICAL OFFICE PROCEDURES,3,Not Transferable,0
ART101,ART APPRECIATION,3,07081101,3
ART101,ART APPRECIATION,3,TRT14HSL,3
ART102,GLASS ART,3,Not Transferable,0
ART104,DRAWING,3,Not Transferable,0
ART104,DRAWING,3,TRT14HSL,3
ART105,PAINTING,3,Not Transferable,0
ART105,PAINTING,3,TRT14HSL,3
ART108,GLASS ART II,3,Not Transferable,0
ART110,INTRODUCTION TO STUDIO ART,3,Not Transferable,0
ART112,INTRO TO FLAME WORKING,3,Not Transferable,0
ART113,STUDIO GLASS ART I,3,Not Transferable,0
ART114,STUDIO GLASS ART II,3,Not Transferable,0
ART115,TWO DIMENSIONAL DESIGN,3,Not Transferable,0
ART115,TWO DIMENSIONAL DESIGN,3,Not Transferable,0
ART116,THREE DIMENSIONAL DESIGN,3,Not Transferable,0
ART116,THREE DIMENSIONAL DESIGN,3,TRT14HSL,3
ART117,INTERMEDIATE FLAMEWORKING,3,Not Transferable,0
ART119,COLOR THEORY,3,Not Transferable,0
ART120,STUDIO GLASS ART I - COLD CONSTRUCTION,3,Not Transferable,0
ART122,STUDIO GLASS ART II - KILN CASTING,3,Not Transferable,0
ART130,FIGURE DRAWING,3,Not Transferable,0
ART130,FIGURE DRAWING,3,TRT14HSL,3
ART140,PRINTMAKING,3,Not Transferable,0
