code,name,credits,equivalency,transfer_credit
ACCT100,ACCOUNTING FUNDAMENTALS,3,Not Transferable,0
ACCT101,ACCOUNTING PRINCIPLES I - FINANCIAL,3,"33010273 ""RQ""",3
ACCT101,ACCOUNTING PRINCIPLES I - FINANCIAL,3,"33010273 ""R11,RQ""",3
ACCT101,ACCOUNTING PRINCIPLES I - FINANCIAL,3,"EC ""R11,RQ""",3
ACCT102,ACCOUNTING PRINCIPLES II,3,"33010274 ""RQ""",3
ACCT102,ACCOUNTING PRINCIPLES II,3,"EC ""RQ""",3
ACCT102,ACCOUNTING PRINCIPLES II,3,"EC ""R11,RQ""",3
ACCT102,ACCOUNTING PRINCIPLES II MANAGERIAL,3,33010272,3
ACCT102,ACCOUNTING PRINCIPLES II MANAGERIAL,3,"EC ""R11,RQ""",3
ACCT105,MICROCOMPUTER ACCOUNTING,2,Not Transferable,0
ACCT106,ADVANCED MICROCOMPUTER ACCOUNTING,2,Not Transferable,0
ACCT107,COMPUTERIZED ACCOUNTING,3,Not Transferable,0
ACCT108,ACCOUNTING FOR BUSINESS DECISION,3,Not Transferable,0
ACCT201,INTERMEDIATE ACCOUNTING I,3,EC,3
ACCT202,INTERMEDIATE ACCOUNTING II,3,EC,3
ACCT205,PAYROLL ACCOUNTING,3,Not Transferable,0
AGSC101,INTRODUCTION TO AGRICULTURAL SCIENCE,3,Not Transferable,0
AGSC107,AGRICULTURAL PEST CONTROL AND MANAGEMENT,4,Not Transferable,0
AGSC150,ORGANIC FARMING,4,Not Transferable,0
AGSC201,AGRICULTURAL MARKETING,3,Not Transferable,0
AGSC240,AGRICULTURAL SCIENCE INTERNSHIP,3,Not Transferable,0
AMSL101,AMERICAN SIGN LANGUAGE I,3,To Be Determined,0
AMSL102,AMERICAN SIGN LANGUAGE II,3,To Be Determined,0
AMSL201,AMERICAN SIGN LANGUAGE III,3,To Be Determined,0
ANTH101,INTRODUCTION TO ANTHROPOLOGY,3,01070EC,3
ANTH105,ANTHROPOLOGY AND MODERN PROBLEMS,3,01070216,3
ANTH110,PHYSICAL ANTHROPOLOGY,3,01070EC,3
ANTH115,BIOLOGICAL ANTHROPOLOGY,4,01070102,3
ANTH120,CULTURAL ANTHROPOLOGY,3,01070EC,3
ANTH131,PRINCIPLES OF ARCHAEOLOGY,3,01070NM,3
ANTH133,ARCHAEOLOGY FIELD METHODS,3,Not Transferable,0
ANTH150,"MAGIC , MYTH AND RELIGION",3,01070EC,3
ANTH201,CULTURAL ANTHROPOLGY,3,01070EC,3
ANTH220,ENVIRONMENT AND CULTURAL BEHAVIOR,3,01070302,3
AOTE101,AUTOMOTIVE FUNDAMENTALS,3,Not Transferable,0
AOTE103,BRAKES. SUSPENSION. AND STEERING,3,Not Transferable,0
AOTE110,AUTOMOTIVE ELECTRICAL SYSTEMS,3,Not Transferable,0
AOTE115,COMPUTERIZED ENGINE CONTROL,4,Not Transferable,0
AOTE118,AUTOMOTIVE HEATING AND AIR CONDITIONING,3,Not Transferable,0
AOTE120,AUTOMOTIVE BRAKE SYSTEMS,3,Not Transferable,0
AOTE130,STEERING AND SUSPENSION SYSTEMS,3,Not Transferable,0
AOTE201,AUTOMOTIVE SYSTEMS,4,Not Transferable,0
AOTE203,"ENGINE CONSTRUCTION, OPERATION AND SERVICE",3,Not Transferable,0
AOTE204,MANUAL TRANSMISSIONS AND DRIVELINES,3,Not Transferable,0
AOTE206,AUTOMATIC TRANSMISSIONS AND TRANSAXLES,3,Not Transferable,0
AOTE208,ADVANCED AUTOMOTIVE ELECTRONICS,3,Not Transferable,0
AOTE210,AUTOMOTIVE DIAGNOSIS,4,Not Transferable,0
AOTE215,AUTOMOTIVE ENGINE PERFORMANCE,3,Not Transferable,0
AOTE255,AUTOMOTIVE PROFICIENCIES,3,Not Transferable,0
AOTE260,CO-OP AUTOMOTIVE EDUCATION - WORK EXPERIENCE,6,Not Transferable,0
AOTE261,SERVICE CENTER EDUCATION CLASS,1,Not Transferable,0
AOTE262,SERVICE CENTER INTERNSHIP,3,Not Transferable,0
ARTA101,BASIC DESIGN,3,07081101,3
ARTA101,BASIC DESIGN,3,EC,3
ARTA101,BASIC DESIGN,3,EC,3
ARTA102,DRAWING ON THE RIGHT SIDE OF,3,EC,3
ARTA103,ART HISTORY I,3,01082105,3
ARTA104,ART HISTORY II,3,01082106,3
ARTA105,ART OF THE WESTERN WORLD,3,EC,3
ARTA106,ART APPRECIATION,3,EC,3
ARTA106,ART APPRECIATION,3,EC,3
ARTA107,HISTORY OF CONTEMPORARY ART,3,EC,3
ARTA108,BASIC DRAWING,3,PENDING,0
ARTA110,INTRODUCTION TO COLOR,3,07081228,3
ARTA110,INTRODUCTION TO COLOR,3,EC,3
ARTA115,THREE DIMENSIONAL DESIGN,3,07081227,3
ARTA115,THREE DIMENSIONAL DESIGN,3,EC,3
ARTA115,THREE DIMENSIONAL DESIGN,3,07081EC,3
ARTA120,INTRODUCTION TO FIBERS,3,PENDING,0
ARTA135,ALTERNATIVE PROCESSES IN PHOTOGRAPHY,3,Not Transferable,0
ARTA150,LIFE DRAWING I,3,07081121,3
ARTA150,LIFE DRAWING I,3,EC,3
ARTA155,ANATOMY AND LIFE DRAWING,3,EC,3
ARTA156,LIFE DRAWING II,3,07081122,3
ARTA156,LIFE DRAWING II,3,EC,3
ARTA156,LIFE DRAWING II,3,EC,3
ARTA160,LANDSCAPE DRAWING,3,07081EC,3
ARTA160,LANDSCAPE DRAWING,3,EC,3
ARTA170,PORTRAIT DRAWING,3,07081EC,3
ARTA170,PORTRAIT DRAWING,3,EC,3
ARTA173,INTRO TO SCULPTURE,3,PENDING,0
ARTA175,CERAMICS I,3,EC,3
ARTA180,PAINTING I,3,07081251,3
ARTA180,PAINTING I,3,EC,3
ARTA185,DIGITAL FINE ART I,3,EC,3
ARTA186,DIGITAL FINE ART II,3,EC,3
ARTA195,PRINTMAKING,3,EC,3
ARTA198,SILK SCREEN PRINTING,3,Pending,0
ARTA200,WATERCOLOR,3,07081EC,3
ARTA200,WATERCOLOR,3,EC,3
ARTA201,PAINTING II,3,07081252,3
ARTA201,PAINTING II,3,EC,3
ARTA210,DRAWING FROM STILL LIFE,3,07081221,3
ARTA210,DRAWING FROM STILL LIFE,3,EC,3
ARTA215,ADVANCED LIFE DRAWING,3,07081222,3
ARTA215,ADVANCED LIFE DRAWING,3,EC,3
ARTA215,ADVANCED LIFE DRAWING,3,07081EC,3
ARTA220,CERAMICS II,3,EC,3
ARTA255,SPECIAL TOPICS IN ART,1,Not Transferable,0
ARTA260,PORTFOLIO DEVELOPMENT,3,Not Transferable,0
ARTA260,PORTFOLIO DEVELOPMENT,3,EC,3
ARTA262,PORTFOLIO FOR ARCHITECTURE DESIGN,2,Not Transferable,0
ASTR101,INTRODUCTORY ASTRONOMY,4,EC,4
BAKE105,BASIC SKILLS + PRINCIPLES,3,Not Transferable,0
BAKE110,BASIC BAKING,3,Not Transferable,0
BAKE115,INTRODUCTION TO CAKES + FILLINGS,3,Not Transferable,0
BAKE118,ADVANCED CAKES + PASTRY,3,Not Transferable,0
BAKE120,BASIC BREADS,3,Not Transferable,0
BAKE125,ADVANCED BREAD + DOUGHS,3,Not Transferable,0
BAKE130,FROZEN + PLATED DESSERTS,3,Not Transferable,0
BAKE205,BAKESHOP - PATISSERIE,3,Not Transferable,0
BAKE210,"BAKESHOP - TARTS, TORTES + GATEAUX",3,Not Transferable,0
BAKE215,BAKESHOP - CHOCOLATES AND CONFECTIONS,3,Not Transferable,0
BAKE225,"BAKESHOP - CAKE, FILLINGS + ICING",3,Not Transferable,0
BCST101,INTRODUCTION TO BUILDING CONSTRUCTION,1,Not Transferable,0
BCST103,"CONSTRUCTION SAFETY, TOOLS AND EQUIPMENT",2,Not Transferable,0
BCST112,PRINT READING AND SKETCHING,3,Not Transferable,0
BCST125,CODES IN CONSTRUCTION,1,Not Transferable,0
BCST130,CONSTRUCTION SITE PREPARATION AND LAYOUT,1,Not Transferable,0
BCST142,CONSTRUCTION MATERIALS AND METHODS I,3,Not Transferable,0
BCST150,INTRODUCTION TO ELECTRICAL AND MECHANICAL SYSTEMS,2,Not Transferable,0
BCST210,ROOF STRUCTURES AND STAIRS,4,Not Transferable,0
BCST230,CONSTRUCTION MATERIALS AND METHODS II,3,Not Transferable,0
BCST235,WEATHER RESISTANT BARRIERS AND FINISHES,2,Not Transferable,0
BCST245,MASONRY PRINCIPLES AND CONCRETE CONSTRUCTION,4,Not Transferable,0
BCST255,INTERIOR FINISHES,2,Not Transferable,0
BCST260,TRIM AND MILLWORK,4,Not Transferable,0
BCST270,"ESTIMATING,PLANNING,SCHEDULING AND MANAGEMENT",4,Not Transferable,0
BCST280,BUILDING CONSTRUCTION INTERNSHIP,3,Not Transferable,0
BIOS101,GENERAL BIOLOGY,4,01119NM,4
BIOS102,INTRODUCTION TO HUMAN BIOLOGY,4,01119EC,4
BIOS103,ANATOMY AND PHYSIOLOGY I,4,01119127,4
BIOS103,ANATOMY AND PHYSIOLOGY I,4,"01119EC ""79,R21""",4
BIOS104,ANATOMY AND PHYSIOLOGY II,4,01119128,4
BIOS104,ANATOMY AND PHYSIOLOGY II,4,"01119EC ""79,R21""",4
BIOS105,VERTEBRATE ANATOMY AND PHYSIOLOGY,4,EC,4
BIOS106,VERTEBRATE ANATOMY AND PHYSIOLOGY,4,EC,4
BIOS107,NUTRITION FUNDAMENTALS,3,Not Transferable,0
BIOS108,INTRODUCTION TO ENVIRONMENTAL SUSTAINABILITY,4,11375101,4
BIOS110,BIOLOGY I,4,"01119EC ""79,R2""",4
BIOS112,BIOLOGY II,4,"01119EC ""79,R2""",4
BIOS122,INTRODUCTION TO ENVIRONMENTAL SCIENCE,4,11375101,4
BIOS124,ECOLOGY,4,11704351,4
BIOS130,INTRODUCTION TO BOTANY,4,11776242,3
BIOS150,"NUTRITION, FITNESS, AND WELLNESS",3,Not Transferable,0
BIOS203,HUMAN BIOLOGY,4,EC,4
BIOS210,MICROBIOLOGY,4,01119132,4
BUSA101,INTRODUCTION TO BUSINESS,3,EC,3
BUSA110,BUSINESS COMMUNICATIONS,3,EC,3
BUSA120,SMALL BUSINESS MANAGEMENT,3,EC,3
BUSA125,PRINCIPLES OF SUPERVISION,3,Not Transferable,0
BUSA180,INTRODUCTION TO RETAILING,3,Not Transferable,0
BUSA190,BUSINESS APPLICATIONS USING ELECTRONIC SPREADSHEET,3,Not Transferable,0
BUSA201,RETAIL MERCHANDISING AND BUYING,3,Not Transferable,0
BUSA203,PRINCIPLES OF ADVERTISING,3,EC,3
BUSA205,BUSINESS LAW I,3,EC,3
BUSA206,BUSINESS LAW II,3,EC,3
BUSA209,MANAGEMENT SKILLS,3,Not Transferable,0
BUSA210,INTRODUCTION TO MANAGEMENT,3,EC,3
BUSA211,MANAGEMENT AND ORGANIZATIONAL BEHAVIOR,3,Not Transferable,0
BUSA212,PRINCIPLES OF FINANCIAL ANALYSIS,3,EC,3
BUSA215,PRINCIPLES OF FINANCIAL MANAGEMENT,3,EC,3
BUSA218,MONEY AND BANKING,3,EC,3
BUSA220,PRINCIPLES OF MARKETING,3,EC,3
BUSA222,SALES PRINCIPLES AND PRACTICE,3,EC,3
BUSA225,AMERICAN BUSINESS HISTORY,3,EC,3
BUSA230,ORGANIZATIONAL BEHAVIOR,3,EC,3
BUSA235,INTRODUCTION TO INTERNATIONAL BUSINESS,3,EC,3
BUSA240,WOMEN IN BUSINESS: CONTEMPORARY ISSUES,3,EC,3
BUSA260,BUSINESS INTERNSHIP,3,Not Transferable,0
CDEV101,INTRODUCTION TO EARLY CHILDHOOD EDUCATION,3,Not Transferable,0
CDEV101,INTRODUCTION TO EARLY CHILDHOOD EDUCATION,3,Not Transferable,0
CDEV150,LANGUAGE DEVELOPMENT AND LANGUAGE ARTS IN ECE,3,Not Transferable,0
CDEV160,CHILD HEALTH AND NUTRITION,3,Not Transferable,0
CDEV202,HISTORICAL AND PHILOSOPHICAL,3,Not Transferable,0
CDEV260,METHODS OF TEACHING INFANTS AND TODDLERS,3,Not Transferable,0
CDEV270,CURRICULUM STUDIES IN EARLY CHILDHOOD EDUCATION,3,Not Transferable,0
CDEV271,METHODS OF TEACHING EARLY CHILDHOOD EDUCATION,3,Not Transferable,0
CDEV272,MUSIC AND ART IN EARLY CHILDHOOD EDUCATION,3,Not Transferable,0
CDEV273,TEACHING CHILDREN TO LOVE MATH,3,Not Transferable,0
CDEV280,CHILD CARE INTERNSHIP I,3,Not Transferable,0
CDEV285,CHILD CARE INTERNSHIP II,3,Not Transferable,0
CDEV290,CURRENT TOPICS IN EARLY CHILDHOOD EDUCATION,3,Not Transferable,0
CDEV900,CAREER DEVELOPMENT FACILITATOR,3,Not Transferable,0
CHEM100,INTRODUCTORY CHEMISTRY,4,01160128,4
CHEM101,COLLEGE CHEMISTRY I,4,01160161,4
CHEM102,COLLEGE CHEMISTRY II,4,01160162,4
CHEM103,INTRODUCTORY CHEMISTRY,4,EC,4
CHEM107,FORENSIC SCIENCE,4,01202EC,4
CHEM110,COLLEGE CHEMISTRY I,4,01160161,4
CHEM110,COLLEGE CHEMISTRY I,4,01160EC,4
CHEM112,COLLEGE CHEMISTRY II,4,01160162,4
CHEM112,COLLEGE CHEMISTRY II,4,01160EC,4
CHEM150,FUNDAMENTALS OF NUTRITION,3,EC,3
CHEM210,ORGANIC CHEMISTRY I,4,"01160307 ""R13""",4
CHEM210,ORGANIC CHEMISTRY I,4,"01160NM ""R13""",4
CHEM210,ORGANIC CHEMISTRY I,5,"01160EC ""R13""",5
CHEM212,ORGANIC CHEMISTRY II,4,01160308,4
CHEM212,ORGANIC CHEMISTRY II,4,"01160NM ""R13""",4
CHEM212,ORGANIC CHEMISTRY II,5,"01160EC ""R13""",5
CHEM215,BIOCHEMISTRY,4,EC,4
CHIN101,ELEMENTARY MANDARIN CHINESE I,3,01165101,3
CHIN102,ELEMENTARY MANDARIN CHINESE II,3,01165102,3
COLL101,FOUNDATIONS FOR SUCCESS,3,Not Transferable,0
COLL201,CAPSTONE FOR LIBERAL ARTS,1,Not Transferable,0
COLL202,"CAPSTONE FOR BUSINESS, SCIENCE AND TECHNOLOGY",1,Not Transferable,0
COLL203,CAPSTONE FOR CRIMINAL JUSTICE,1,Not Transferable,0
COLL204,CAPSTONE IN FILM STUDIES,1,Not Transferable,0
COLL205,CAPSTONE IN JOURNALISM,1,Not Transferable,0
COLL206,CAPSTONE FOR ACCOUNTING AND BUSINESS,1,Not Transferable,0
COLL207,CAPSTONE FOR PSYCHOLOGY,1,Not Transferable,0
COLL208,CAPSTONE - COMPUTER SCIENCE AND INFORMATION SYSTEM,1,Not Transferable,0
COLL209,CAPSTONE FOR ENVIRONMENTAL STUDIES,1,Not Transferable,0
COLL210,CAPSTONE FOR BIOLOGICAL AND CLINICAL SCIENCES,1,Not Transferable,0
COLL211,CAPSTONE - MATHEMATICS AND CHEMISTRY,1,Not Transferable,0
COMM101,INTRODUCTION TO MASS COMMUNICATION,3,04189102,3
COMM110,INTRODUCTION TO RADIO AND TELEVISION BROADCASTING,3,EC,3
COMM120,INTRODUCTION TO MULTIMEDIA,3,PENDING,0
COMM120,INTRODUCTION TO MULTIMEDIA,3,04189102,3
COMM130,TELEVISION PRODUCTION I,3,EC,3
COMM130,TELEVISION PRODUCTION I,3,Not Transferable,0
COMM132,CINEMATOGRAPHY,3,EC,3
COMM132,CINEMATOGRAPHY,3,Not Transferable,0
COMM132,CINEMATOGRAPHY,3,Not Transferable,0
COMM150,SPORTS BROADCASKING AND MEDIA PRODUCTION,3,Not Transferable,0
COMM155,LIVE SOUND PERFORMANCE,3,Not Transferable,0
COMM180,EDITING,3,EC,3
COMM203,WRITING FOR THE MEDIA,3,EC,3
COMM205,RADIO AND TELEVISION PERFORMANCE,3,PENDING,0
COMM205,RADIO AND TV PERFORMANCE,3,Not Transferable,0
COMM210,MULTIMEDIA PRODUCTION,3,Not Transferable,0
COMM215,JOURNALISM I,3,Not Transferable,0
COMM217,JOURNALISM II,3,Not Transferable,0
COMM219,ON-LINE JOURNALISM,3,EC,3
COMM220,PHOTOJOURNALISM,3,04567314,3
COMM220,PHOTOJOURNALISM,3,04567EC,3
COMM221,RADIO PRODUCTION AND BROADCASTING,3,Not Transferable,0
COMM223,THE GOTHIC IN LITERATURE AND THE CINEMA,3,01350EC,3
COMM225,PUBLIC RELATIONS,3,PENDING,0
COMM225,PUBLIC RELATIONS,3,04189EC,3
COMM230,CRITICAL ANALYSIS AND SURVEY OF THE CINEMA,3,EC,3
COMM280,INTERNSHIP IN BROADCASTING /RADIO,3,Not Transferable,0
COMM280,INTERNSHIP IN BROADCASTING/RADIO,3,Not Transferable,0
COMM285,INTERNSHIP IN BROADCASTING/VIDEO PRODUCTION,3,Not Transferable,0
COMM290,INTERNSHIP PORTFOLIO: NEW MEDIA,2,Not Transferable,0
COMM291,PORTFOLIO PREPARATION AND PRESENTATION,1,Not Transferable,0
COMS100,COMPUTER FUNDAMENTALS,3,Not Transferable,0
COMS103,COMPUTER BASICS,2,Not Transferable,0
COMS104,INTRODUCTION TO PERSONAL COMPUTERS,1,Not Transferable,0
COMS105,INTRODUCTION TO WINDOWS AND THE INTERNET,1,Not Transferable,0
COMS106,INTRODUCTION TO WORD PROCESSING,1,Not Transferable,0
COMS107,INTRODUCTION TO SPREADSHEETS,1,Not Transferable,0
COMS108,INTRODUCTION TO PRESENTATION SOFTWARE,1,Not Transferable,0
COMS110,COMPUTER CONCEPTS AND APPLICATIONS,3,EC,3
COMS111,IT FUNDAMENTALS,3,Not Transferable,0
COMS112,FUNDAMENTALS OF COMPUTER SCIENCE,3,EC,3
COMS112,FUNDAMENTALS OF COMPUTER SCIENCE,3,01198110,3
COMS113,INTRODUCTION TO INFORMATION SYSTEMS,3,Not Transferable,0
COMS114,INTRODUCTION TO PROGRAMMING IN JAVA,3,PENDING,0
COMS114,INTRODUCTION TO COMPUTER SCIENCE I,3,01198NM,3
COMS115,INTRODUCTION TO COMPUTER SCIENCE II,3,PENDING,0
COMS120,COMPUTER SOFTWARE APPLICATIONS,3,"EC ""79""",3
COMS122,COMPUTER APPLICATIONS FOR HEALTH PROFESSIONALS,3,Not Transferable,0
COMS125,INTRODUCTION TO COMPUTER GRAPHICS,3,EC,3
COMS128,ADVANCED COMPUTER GRAPHICS,3,EC,3
COMS130,BUSINESS APPLICATIONS IN DESKTOP,3,Not Transferable,0
COMS132,GAME PROGRAMMING,3,Not Transferable,0
COMS140,INTRODUCTION TO PROGRAMMING,3,"01198110 ""79""",3
COMS141,LINUX FUNDAMENTALS FOR CYBERSECURITY,3,Not Transferable,0
COMS142,PROGRAMMING IN C++,3,PENDING,0
COMS143,ADVANCED PROGRAMMING IN C++,3,PENDING,0
COMS145,INTRODUCTION TO PROGRAMMING IN JAVA,3,PENDING,0
COMS146,ADVANCED PROGRAMMING IN JAVA,3,PENDING,0
COMS148,INTRODUCTION TO LINUX,3,PENDING,0
COMS149,WEB SERVERS AND CGI SCRIPTING,3,PENDING,0
COMS150,BUSINESS APPLICATIONS IN LOTUS 1-2-3,3,Not Transferable,0
COMS155,WEB SITE DEVELOPMENT I,3,Not Transferable,0
COMS156,WEB SITE DEVELOPMENT II,3,Not Transferable,0
COMS201,MICROCOMPUTER I,0,EC,3
COMS203,ADVANCED PROGRAMMING IN BASIC,3,EC,3
COMS205,PROGRAMMING IN FORTRAN,3,EC,3
COMS206,PROGRAMMING IN C++,3,EC,3
COMS207,ADVANCED PROGRAMMING IN C++,3,01198111,3
COMS208,MICRO VI - PASCAL,0,EC,3
COMS210,SYSTEM ANALYSIS AND DESIGN,3,Not Transferable,0
COMS212,PROGRAMMING IN VISUAL BASIC,3,EC,3
COMS213,ADVANCED VISUAL BASIC,3,EC,3
COMS214,COBOL I,3,EC,3
COMS215,COBOL II,3,EC,3
COMS217,DATABASE MANAGEMENT SYSTEMS,3,Not Transferable,0
