code,name,credits,equivalency,transfer_credit
ACC101,PRINCIPLES OF ACCOUNTING I,3,"EC ""R11,RQ""",3
ACC102,PRINCIPLES OF ACCOUNTING II,3,"EC ""R11,RQ""",3
ACC103,ACCOUNTING I,3,"EC ""R11,RQ""",3
ACC103,ACCOUNTING I,3,"EC ""R11, RQ""",3
ACC104,ACCOUNTING II,3,"EC ""R11,RQ""",3
ACC104,ACCOUNTING II,3,EC,3
ACC165,ELEMENTS OF ACCOUNTING,3,Not Transferable,0
ACC201,INTERMEDIATE ACCOUNTING I,3,EC,3
ACC202,INTERMEDIATE ACCOUNTING II,3,EC,3
ACC203,INTERMEDIATE ACCOUNTING I,3,EC,3
ACC203,INTERMEDIATE ACCOUNTING I,3,Not Transferable,0
ACC203,INTERMEDIATE ACCOUNTING I,3,Not Transferable,0
ACC204,INTERMEDIATE ACCOUNTING II,3,EC,3
ACC204,INTERMEDIATE ACCOUNTING II,3,Not Transferable,0
ACC204,INTERMEDIATE ACCOUNTING II,3,Not Transferable,0
ACC205,COST ACCOUNTING,4,33010275,3
ACC205,COST ACCOUNTING,4,33010275,3
ACC205,COST ACCOUNTING,4,33010275,4
ACC210,MICROCOMPUTERS IN ACCOUNTING,3,Not Transferable,0
ACC211,FEDERAL TAXES I,3,EC,4
ACC211,FEDERAL TAXES I,3,Not Transferable,0
ACC212,FEDERAL TAXES II,3,Not Transferable,0
ACC290,CO-OP EDUCATION EXPERIENCE IN ACCOUNTING,3,Not Transferable,0
ADM100,NOTE TAKING,3,Not Transferable,0
ADM101,KEYBOARDING FOR COMPUTER I,2,Not Transferable,0
ADM102,KEYBOARDING FOR COMPUTER II,2,Not Transferable,0
ADM103,SHORTHAND I,4,Not Transferable,0
ADM104,SHORTHAND II (SUPER WRITE),4,Not Transferable,0
ADM110,HEALTH CARE COMPUTER SKILLS,2,Not Transferable,0
ADM119,BASIC MACHINE TRANSCRIPTION,2,Not Transferable,0
ADM122,INTERMEDIATE KEYBOARDING,3,Not Transferable,0
ADM123,ADVANCED KEYBOARDING,3,Not Transferable,0
ADM131,ADMINISTRATIVE PROCEDURES,3,Not Transferable,0
ADM135,PROOF READING AND EDITING SKILLS,3,Not Transferable,0
ADM140,CUSTOMER SERVICE,3,Not Transferable,0
ADM141,MEDICAL OFFICE PROCEDURES I,3,Not Transferable,0
ADM142,MEDICAL OFFICE PROCDURES II,3,Not Transferable,0
ADM200,FUNDAMENTALS OF HEALTH CARE COMPUTING I,3,Not Transferable,0
