code,name,credits,equivalency,transfer_credit
ACC101,PRINCIPLES OF ACCOUNTING I,3,EC,3
ACC102,PRINCIPLES OF ACCOUNTING II,3,EC,3
ACC103,ACCOUNTING I,3,TRT37QU,4
ACC103,ACCOUNTING I,3,TRT37QU,3
ACC104,ACCOUNTING II,3,TRT37QU,4
ACC104,ACCOUNTING II,3,TRT37QU,3
ACC165,ELEMENTS OF ACCOUNTING,3,EC,3
ACC201,INTERMEDIATE ACCOUNTING I,3,EC,3
ACC202,INTERMEDIATE ACCOUNTING II,3,EC,3
ACC203,INTERMEDIATE ACCOUNTING I,3,TRT37QU,4
ACC203,INTERMEDIATE ACCOUNTING I,3,TRT37QU,3
ACC204,INTERMEDIATE ACCOUNTING II,3,TRT37QU,4
ACC204,INTERMEDIATE ACCOUNTING II,3,TRT37QU,3
ACC205,COST ACCOUNTING,4,TRT37QU,4
ACC210,MICROCOMPUTERS IN ACCOUNTING,3,TRT37EC,3
ACC211,FEDERAL TAXES I,3,TRT37EC,3
ACC212,FEDERAL TAXES II,3,TRT37EC,3
ACC290,CO-OP EDUCATION EXPERIENCE IN ACCOUNTING,3,TRT37EC,3
ADM100,NOTE TAKING,3,TRT37TEC,3
ADM101,KEYBOARDING FOR COMPUTER I,2,TRT37TEC,2
ADM102,KEYBOARDING FOR COMPUTER II,2,TRT37TEC,2
ADM103,SHORTHAND I,4,TRT37TEC,4
ADM104,SHORTHAND II (SUPER WRITE),4,EC,4
ADM110,HEALTH CARE COMPUTER SKILLS,2,TRT37TEC,2
ADM119,BASIC MACHINE TRANSCRIPTION,2,EC,2
ADM122,INTERMEDIATE KEYBOARDING,3,TRT37TEC,3
ADM123,ADVANCED KEYBOARDING,3,TRT37TEC,3
ADM131,ADMINISTRATIVE PROCEDURES,3,TRT37TEC,3
ADM135,PROOF READING AND EDITING SKILLS,3,TRT37TEC,3
ADM140,CUSTOMER SERVICE,3,TRT37TEC,3
ADM141,MEDICAL OFFICE PROCEDURES I,3,EC,3
ADM142,MEDICAL OFFICE PROCDURES II,3,EC,3
ADM200,FUNDAMENTALS OF HEALTH CARE COMPUTING I,3,EC,3
ADM201,COMPUTER INFORMATION SYSTEMS,3,EC,3
ADM213,WORD I,3,TRT37TEC,3
ADM214,WORD II,3,TRT37TEC,3
ADM215,EXCEL I,3,TRT37TEC,3
ADM216,ACCESS,3,TRT37TEC,3
ADM217,POWERPOINT,3,TRT37TEC,3
ADM220,MANAGEMENT OF THE AUTOMATED OFFICE,3,TRT37TEC,3
ADM290,CO-OP EDUC EXPERIENCE IN ADMINISTRATIVE SUPPORT,3,TRT37TEC,3
ALH161,MEDICAL TERMINOLOGY,3,10832EC,3
ALH201,PATHOPHYSIOLOGY AND HEALTH CARE,3,TRT37SCI,3
ANT101,INTRODUCTORY ANTHROPOLOGY,3,TRT37SS,3
ANT102,CULTURAL ANTHROPOLOGY,3,01070EC,3
ARB101,BEGINNING ARABIC I,3,01013140,3
ARB101,BEGINNING ARABIC I,3,01013141,3
ARB102,BEGINNING ARABIC II,3,01013141,3
ARC101,ARCHITECTURAL DESIGN I,5,10971EC,5
ARC102,ARCHITECTURAL DESIGN II,5,10971EC,5
ARC105,INTRODUCTION TO ARCHITECTURE AND CULTURE,3,01082EC,3
ARC105,INTRODUCTION TO ARCHITECTURE AND CULTURE,3,10971EC,3
ARC201,ARCHITECTURAL DESIGN III,5,10971EC,5
ARC202,ARCHITECTURAL DESIGN IV,5,10971EC,5
ARC205,ARCHITECTURAL CAD DESIGN,3,10971EC,3
ARC206,ARCHITECTURAL 3D DESIGN,3,10971EC,3
ARC210,PORTFOLIO DEVELOPMENT AND PRESENTATION  METHODS,2,10971EC,2
ARC214,STRUCTURAL DESIGN - WOOD I,2,EC,2
ARC215,STRUCTURAL DESIGN - WOOD II,2,EC,2
ARC216,MATERIALS AND CONSTRUCTION I,2,TRT37EC,2
ARC217,MATERIALS AND CONSTRUCTION II,2,TRT37EC,2
ARC218,CONSTRUCTION METHODS AND MATERIALS,3,10971EC,3
ARC224,STRUCTURAL DESIGN I,3,10971EC,3
ARC225,STRUCTURAL DESIGN II,3,10971EC,3
ARC295,INDEPENDENT STUDIES,1,10971EC,3
ASL101,AMERICAN SIGN LANGUAGE I,4,TRT37EC,4
ASL101,AMERICAN SIGN LANGUAGE I,3,TRT37HUM,3
ASL102,VISUAL- GESTURAL COMMUNICATION I,2,04192120,2
ASL102,VISUAL-GESTURAL COMMUNICATION,2,TRT37TEC,2
ASL103,AMERICAN SIGN LANGUAGE II,4,TRT37EC,4
ASL103,AMERICAN SIGN LANGUAGE II,3,TRT37EC,3
ASL103,AMERICAN SIGN LANGUAGE II,3,04192121,3
ASL104,ASL CLASSIFIERS,2,04192120,2
ASL108,AMERICAN DEAF CULTURE AND HISTORY,3,TRT37EC,3
ASL200,ACADEMIC AMERICAN SIGN LANGUAGE,3,TRT37HUM,3
ASL201,AMERICAN SIGN LANGUAGE III,3,TRT37EC,3
ASL202,AMERICAN SIGN LANGUAGE IV,3,TRT37EC,3
ASL203,AMERICAN SIGN LANGUAGE V,3,TRT37EC,3
ASL205,LINGUISTICS OF AMERICAN SIGN LANGUAGE,3,TRT37EC,3
ASL205,LINGUISTICS OF AMERICAN SIGN LANGUAGE,1,TRT37EC,1
ASL208,AMERICAN DEAF CULTURE AND HISTORY,3,01050EC,3
ASL210,AMERICAN SIGN LANGUAGE AND DEAF  LITERATURE,3,01050EC,3
ASL211,MENTORING -SKILLS DEV FOR ASL-ENGLISH INTERPRETERS,3,TRT37EC,3
AST101,ASTRONOMY OF THE SOLAR SYSTEM,4,TRT37SCI,4
AST102,ASTRONOMY BEYOND THE SOLAR SYSTEM,4,TRT37SCI,4
AUT100,AUTOMOTIVE FUNDAMENTALS,4,TRT37TEC,4
AUT101,STEERING/SUSPENSION SYSTEMS,4,TRT37TEC,4
AUT102,MANUAL DRIVE TRAINS,4,TRT37TEC,4
AUT103,BRAKE SYSTEMS,4,TRT37TEC,4
AUT121,AUTOMOTIVE ELECTRICAL I,4,TRT37TEC,4
AUT122,AUTOMOTIVE A/C ^ HEATING,4,TRT37TEC,4
AUT122,AUTOMOTIVE A/C + HEATING,4,TRT37TEC,4
AUT131,AUTOMOTIVE ENGINE PERFORMANCE I,4,TRT37TEC,4
AUT201,ENGINE REPAIR,4,TRT37TEC,4
AUT202,AUTOMOTIVE ELECTRICAL II,4,TRT37TEC,4
AUT203,AUTOMATIC TRANSMISSION,4,TRT37TEC,4
AUT204,AUTOMOTIVE DRIVETRAINS,4,TRT37TEC,4
AUT223,AUTOMOTIVE ELECTRICAL III,4,TRT37TEC,4
AUT232,AUTOMOTIVE ENGINE PERFORMANCE II,3,TRT37TEC,3
AUT233,AUTOMOTIVE ENGINE PERFORMANCE III,4,TRT37TEC,4
