code,name,credits,equivalency,transfer_credit
ACC101,PRINCIPLES OF ACCOUNTING I,3,TRT10QU,3
ACC102,PRINCIPLES OF ACCOUNTING II,3,TRT10QU,3
ACC103,COMPUTERIZED FINANCIAL ACCOUNTING,3,EC,3
ACC104,COMPUTERIZED MANAGERIAL ACCOUNTING,3,To Be Determined,0
ACC105,MICROCOMPUTER ACCOUNTING,3,To Be Determined,0
ACC106,ADVANCED MICROCOMPUTER ACCOUNTING,3,To Be Determined,0
ACC201,INTERMEDIATE ACCOUNTING I,3,TRT10QU,3
ACC202,INTERMEDIATE ACCOUNTING II,3,TRT10QU,3
ACC203,FEDERAL INCOME TAXATION,3,EC,3
ACC204,INCOME TAX ACCOUNTING,3,EC,3
ACC205,INCOME TAX ACCOUNTING II,3,EC,3
ACC206,COST ACCOUNTING,3,EC,3
ACC210,SECRETARIAL ACCOUNTING,3,EC,3
ACC221,SMALL BUSINESS MANAGEMENT,3,EC,3
ACC251,MANAGERIAL ACCOUNTING,3,TRT10QU,3
AHP110,ALLIED HEALTH PROFESSIONAL ISSUES,3,EC,3
AHP120,MEDICAL TERMINOLOGY,3,TRT10TEC,3
AHP220,MEDICAL TERMINOLOGY,3,TRT10TEC,3
ANT289,ANTHROPOLOGY,3,EC,3
ANT289,ANTHROPOLOGY,3,01070100,3
ART101,INTRODUCTION TO ART APPRECIATION,3,07081101,3
ART101,INTRODUCTION TO ART APPRECIATION,3,TRT10HUM,3
ART105,ART HISTORY I,3,01082105,3
ART106,ART HISTORY II,3,01082106,3
ART107,MODERN TO CONTEMPORARY ART HISTORY,3,01082EC,3
ART115,BASIC DESIGN,3,07081101,3
ART115,BASIC DESIGN,3,TRT10HUM,3
ART116,2D DESIGN,3,TRT10HUM,3
ART118,DRAWING,3,TRT10HUM,3
ART120,LIFE DRAWING I,3,TRT10HUM,3
ART121,LIFE DRAWING II,3,TRT10HUM,3
ART122,COMPUTER GRAPHICS II,3,EC,3
ART131,DESKTOP PUBLISHING I,3,EC,3
ART132,DESKTOP PUBLISHING II,3,EC,3
ART151,3D MODELING AND ANIMATION,3,EC,3
ART181,DRAWING STUDIO,3,To Be Determined,0
ART201,DRAWING,3,07081122,3
ART201,DRAWING,3,TRT10HUM,3
ART203,3D DESIGN,3,TRT10HUM,3
ART205,WATERCOLOR,3,07081EC,3
ART205,WATERCOLOR,3,TRT10HUM,3
ART207,INTRODUCTION TO COLOR THEORY,3,07081228,3
ART207,INTRODUCTION TO COLOR THEORY,3,TRT10HUM,3
ART211,PAINTING I,3,07081251,3
ART211,PAINTING I,3,TRT10HUM,3
ART212,PAINTING II,3,07081252,3
ART212,PAINTING II,3,TRT10HUM,3
ART220,LIFE DRAWING II,3,TRT10HUM,3
ART270,AMERICAN COMIC BOOK ART HISTORY AND DESIGN,3,TRT10HUM,3
ART285,3D DESIGN,3,TRT10HUM,3
ART911,INTRODUCTION TO PAINTING,3,EC,3
AUT101,ENGINE REPAIR,4,TRT10TEC,4
AUT102,BRAKE SYSTEMS,4,TRT10TEC,4
AUT103,STEERING/SUSPENSION SYSTEMS,4,TRT10TEC,4
AUT104,AUTOMOTIVE ELECTRICAL I,4,TRT10TEC,4
AUT105,AUTOMOTIVE ENGINE PERFORMANCE I,4,TRT10TEC,4
AUT106,MANUAL DRIVE TRAINS,4,TRT10TEC,4
AUT202,AUTOMOTIVE ENGINE PERFORMANCE II,4,TRT10TEC,4
AUT203,HEATING AND AIR CONDITIONING,4,TRT10TEC,4
AUT204,AUTOMOTIVE TRANSMISSION,4,TRT10TEC,4
AUT205,AUTOMOTIVE ENGINE PERFORMANCE III,4,TRT10TEC,4
AUT206,AUTOMOTIVE TECHNOLOGY INTERNSHIP,3,TRT10TEC,3
BIO145,PRINCIPLES OF BIOLOGY,4,EC,4
BIO145,PRINCIPLES OF BIOLOGY,4,01119150,4
BIO145,PRINCIPLES OF BIOLOGY,4,TRT10SCI,4
BIO150,PRINCIPLES OF HUMAN BIOLOGY,4,TRT10SCI,4
BIO162,GENERAL BIOLOGY I,4,TRT10SCI,4
BIO163,GENERAL BIOLOGY II,4,TRT10SCI,4
BIO164,GENERAL CHEMISTRY I,4,EC,4
BIO165,ENVIRONMENTAL STUDIES,4,TRT10SCI,4
BIO170,GENERAL ECOLOGY,4,TRT10SCI,4
BIO176,"INTRO TO ANATOMY, PHYSIOLOGY, PATHOLOGY",3,10832BIO,3
BIO185,MARINE BIOLOGY,1,EC,1
BIO200,GENETICS,3,01447NM,3
BIO210,COMPARATIVE ANATOMY,4,TRT10SCI,4
BIO220,EVOLUTIONARY BIOLOGY,4,11704EC,4
BIO220,EVOLUTIONARY BIOLOGY,4,11216EC,4
BIO262,ANATOMY AND PHYSIOLOGY I,4,01119NM,4
BIO262,ANATOMY AND PHYSIOLOGY I,4,"01119EC ""R21""",4
BIO262,ANATOMY AND PHYSIOLOGY I,4,10832BIO,4
BIO263,ANATOMY AND PHYSIOLOGY II,4,01119NM,4
BIO263,ANATOMY AND PHYSIOLOGY II,4,"01119EC ""R21""",4
BIO263,ANATOMY AND PHYSIOLOGY II,4,10832BIO,4
BIO264,MICROBIOLOGY,4,01119132,4
BIO291,ENVIRONMENTAL STUDIES INTERNSHIP,1,Not Transferable,0
BIO511,INTERNSHIP ECOLOGY,3,EC,3
BUS101,BUSINESS ORGANIZATION AND MANAGEMENT,3,EC,3
BUS108,BUSINESS GRAPHICS,3,EC,3
BUS111,MATH ANALYSIS FOR BUSINESS AND ECONOMICS,3,EC,3
BUS119,INTRODUCTION TO BUSINESS,3,EC,3
BUS120,BUSINESS ORGANIZATION AND MANAGEMENT,3,TRT10EC,3
BUS120,BUSINESS ORGANIZATION AND MANAGEMENT,3,33011100,3
BUS121,BUSINESS COMMUNICATIONS,3,EC,3
BUS122,BUSINESS LAW I,3,33011204,3
BUS122,BUSINESS LAW I,3,33011204,3
BUS122,BUSINESS LAW I,3,37575220,3
BUS123,BUSINESS LAW II,3,TRT10EC,3
BUS124,PRINCIPLES OF MANAGEMENT,3,33011201,3
BUS124,PRINCIPLES OF MANAGEMENT,3,33011201,3
BUS125,INVENTORY CONTROL AND MANAGEMENT,3,To Be Determined,0
BUS127,FINANCIAL PLANNING AND MANAGEMENT FOR WOMEN,3,EC,3
BUS128,PRINCIPLES OF FINANCE,3,EC,3
BUS129,BUSINESS MATH,3,EC,3
BUS151,STATISTICS,3,EC,3
BUS160,MATH ANALYSIS FOR BUSINESS AND ECONOMICS,3,EC,3
BUS201,PRINCIPLES OF MARKETING,3,33011202,3
BUS201,PRINCIPLES OF MARKETING,3,33011202,3
BUS202,PRINCIPLES OF ADVERTISING,3,Not Transferable,0
BUS203,SOCIAL MEDIA MARKETING,3,Not Transferable,0
BUS204,MANAGEMENT SKILLS FOR WOMEN,3,EC,3
BUS204,DIGITAL ANALYTICS,3,TRT10TCH,3
BUS205,BUSINESS STATISTICS I,3,EC,3
BUS209,BUSINESS COMMUNICATIONS,3,EC,3
BUS210,PRINCIPLES OF MANAGEMENT,3,EC,3
BUS219,BUSINESS STATISTICS,3,To Be Determined,0
BUS220,MANAGEMENT SKILLS FOR WOMEN,3,EC,3
BUS221,SMALL BUSINESS MANAGEMENT,3,TRT10EC,3
BUS222,INVESTMENT (PERSONAL FINANCES),3,37575250,3
BUS224,PERSONNEL MANAGEMENT,3,37533301,3
BUS224,PERSONNEL MANAGEMENT,3,37575SS,3
BUS225,INDUSTRIAL PSYCHOLOGY,3,To Be Determined,0
BUS226,SMALL BUSINESS MANAGEMENT,3,EC,3
BUS228,PRINCIPLES OF FINANCE,3,TRT10EC,3
BUS235,ADMINISTRATIVE LAW,3,EC,3
BUS235,ADMINISTRATIVE LAW,3,TRT10TEC,3
BUS240,PERSONNEL MANAGEMENT,3,37533301,3
BUS250,INTERNATIONAL BUSINESS,3,EC,3
BUS251,INTRODUCTION TO GLOBAL BUSINESS,3,TRT10SS,3
BUS252,GLOBAL BUSINESS STUDY ABROAD TOUR,3,TRT10EC,3
BUS253,BUSINESS PRACTICE FIRM,3,TRT10EC,3
BUS255,INTRO TO ELECTRONIC COMMERCE,3,TRT10EC,3
BUS290,PROPERTY MANAGEMENT,3,EC,3
BUS293,CO-OPERATIVE EDUCATION,3,EC,3
BUS313,SMALL BUSINESS MANAGEMENT,3,EC,3
BUS321,SMALL BUSINESS MANAGEMENT,3,EC,3
BUS324,REAL ESTATE SALES,5,TRT10TEC,5
BUS325,REAL ESTATE BROKER,6,TRT10TEC,6
BUS350,MANAGEMENT BY OBJECTIVES,1,EC,1
BUS351,LEADERSHIP SKILLS,1.5,EC,1
BUS352,TIME MANAGEMENT (HRD),1.5,EC,1
BUS353,MANAGER GUIDE HUMAN,1,EC,1
BUS354,FIRST LINE MANAGEMENT,1,EC,1
BUS356,MODERN MARKETING,1,EC,1
BUS357,COMMUNICATION SKILLS FOR MANAGERS,1,EC,1
BUS358,WHAT MANAGERS DO,1,EC,1
BUS359,FUNDAMENTALS OF FINANCE AND ACCOUNTING,1,EC,1
BUS360,FUNDAMENTALS OF MODERN PERSONNEL MANAGEMENT,1,EC,1
BUS361,EFFECTIVE TEAM BUILDING,1,EC,1
BUS362,MANAGE/RESOLVE CONFLICT,1,EC,1
BUS365,FINANCIAL STATEMENTS,1,EC,1
BUS368,SUCCESS/ASSERTIVENESS,1,EC,1
BUS372,WRITING FOR MANAGEMENT SUCCESS,1,EC,1
BUS381,ADMINISTRATIVE SKILLS FOR MANAGEMENT,3,EC,3
BUS511,COOPERATIVE EDUCATION,3,TRT10TEC,3
CHE107,FORENSIC SCIENCE LAB,4,01160NM,4
CHE110,INTRODUCTORY CHEMISTRY,4,01160134,4
CHE140,INTRODUCTION TO CHEMISTRY,3,01160134,3
CHE141,INTRODUCTION TO CHEMISTRY (LAB),1,EC,1
CHE164,GENERAL CHEMISTRY I,4,01160161,4
CHE165,GENERAL CHEMISTRY II,4,01160162,4
CHE200,FORENSIC SCIENCE,4,EC,4
CHE210,ORGANIC CHEMISTRY I,4,01160307,4
CHE211,ORGANIC CHEMISTRY II,4,01160308,4
CJS105,EXPLORING SECURITY ESSENTIALS,3,01202210,3
CJS205,SECURITY MANAGEMENT,3,01202NM,3
COM101,INTRODUCTION TO MASS MEDIA,3,04189102,3
COM105,INTERPERSONAL COMMUNICATION,3,04192201,3
COM110,MEDIA WRITING,3,04567324,3
COM115,FEATURE WRITING,3,TRT10WRI,3
COM120,INTRODUCTION TO RADIO BROADCASTING,3,TRT10EC,3
COM121,BUSINESS COMMUNICATIONS,3,TRT10EC,3
COM130,INTRODUCTION TO BROADCASTING,3,TRT10EC,3
COM143,SPEECH,3,TRT10HUM,3
COM205,INTERCULTURAL COMMUNICATIONS,3,04189NM,3
COM210,PHOTOJOURNALISM,3,04567314,3
COM293,COMMUNICATIONS INTERNSHIP,3,EC,3
COM511,JOURNALISM INTERNSHIP,3,TRT10EC,3
CRJ105,INTRODUCTION TO CRIMINAL JUSTICE,3,01202201,3
CRJ107,FORENSIC SCIENCE,4,01202EC,4
CRJ110,CRIMINOLOGY,3,01920222,3
CRJ120,JUVENILE DELINQUENCY,3,01202EC,3
CRJ130,CRIMINAL LAW,3,01202EC,3
CRJ140,INTRODUCTION TO TERRORISM,3,01202EC,3
CRJ150,CRIMINOLOGY,3,EC,3
CRJ160,POLICE AND THE COMMUNITY,3,01202202,3
CRJ170,CRIMINAL INVESTIGATION,3,01202EC,3
CRJ180,CORRECTIONS IN TODAY'S SOCIETY,3,01202203,3
CRJ200,FORENSIC SCIENCE,4,01202305,4
CRJ210,PROBATION AND PAROLE,3,01202EC,3
CRJ220,CRIMINAL JUSTICE ORGANIZATIONS AND MANAGEMENT,3,01202EC,3
CRJ225,CRIMINAL PROCEDURES,3,01202205,3
CRJ240,TERRORISM RESPONSES,3,01202EC,3
CRJ245,FORENSIC PSYCHOLOGY,3,TRT10SS,3
CRJ250,CURRENT ISSUES IN CRIMINAL JUSTICE/CAPSTONE EXPER,3,TRT10EC,3
CRJ293,CRIMINAL JUSTICE INTERNSHIP,3,EC,3
CRJ511,CRIMINAL JUSTICE INTERNSHIP,3,TRT10SS,3
CSC101,INTRODUCTION TO DATA PROCESSING,3,EC,3
CSC102,INTRODUCTION TO TECHNOLOGY,2,TRT10TCH,2
CSC103,INTRODUCTION TO COMPUTING,3,01198110,3
CSC104,INTRODUCTION TO COMPUTER AIDED DESIGN,3,To Be Determined,0
CSC108,BUSINESS GRAPHICS,3,EC,3
CSC110,SYSTEMS ANALYSIS,3,TRT10EC,3
CSC112,MICROCOMPUTER SOFTWARE APPLICATIONS,3,TRT10TCH,3
CSC114,PROGRAMMING IN BASIC,3,EC,3
CSC115,WEB DEVELOPMENT,3,TRT10EC,3
CSC117,INSTRUCTIONAL TECHNOLOGY,3,TRT10EC,3
CSC120,DATA COMMUNICATIONS,3,TRT10EC,3
CSC121,PROGRAMMING I,3,01198111,3
CSC121,PROGRAMMING I,3,01198NM,3
CSC122,PROGRAMMING II,3,01198112,3
CSC122,PROGRAMMING II,3,01198NM,3
CSC130,INTRODUCTION TO DATA PROCESSING,3,EC,3
CSC131,COMPUTER SCIENCE INTRODUCTION,4,EC,4
CSC134,PROGRAMMING IN BASIC,3,EC,3
CSC136,INTRODUCTION TO COBOL,3,EC,3
CSC137,COBOL II,3,EC,3
CSC138,RPG II PROGRAMMING,3,EC,3
CSC139,RPG/400 PROGRAMMING,3,To Be Determined,0
CSC140,PROGRAMMING WITH VISUAL BASIC,3,TRT10EC,3
CSC150,OPERATING SYSTEMS FUNDAMENTALS,3,TRT10EC,3
CSC160,NETWORKING ESSENTIALS,1,TRT10EC,1
CSC170,THE NEW LITERACY,3,EC,3
CSC200,DATABASE MANAGEMENT CONCEPTS,3,TRT10EC,3
CSC202,INTRODUCTION TO FORTRAN,3,EC,3
CSC210,MULTIMEDIA AUTHORING,3,TRT10EC,3
CSC211,MULTIMEDIA AUTHORING II,3,EC,3
CSC212,MULTIMEDIA FOR THE WEB,3,TRT10EC,3
CSC225,MACHINE-LEVEL PROGRAM/COMPUTER ORGANIZATION,3,To Be Determined,0
CSC226,SYSTEM DESIGN AND DEVELOPMENT,3,To Be Determined,0
CSC228,ADVANCED PROGRAMMING TECHNIQUES,3,EC,3
CSC228,ADVANCED PROGRAMMING TECHNIQUES,3,01198112,3
CSC228,ADVANCED PROGRAMMING TECHNIQUES,3,01198NM,3
CSC230,WEB DEVELOPMENT II,3,TRT10EC,3
CSC235,ADVANCED WEB DEVELOPMENT,3,TRT10EC,3
CSC240,INTRODUCTION TO C PROGRAMMING,3,EC,3
CSC293,COMPUTER SCIENCE INTERNSHIP,3,EC,3
